Canal,Trozo_1,Trozo_2,Trozo_3,Trozo_4,Trozo_5,Trozo_6,Trozo_7,Trozo_8,Trozo_9,Trozo_10,Trozo_11,Trozo_12
A09,1.37507E+12,3.51598E+12,6.47523E+12,9.22732E+12,1.1086E+13,1.19995E+13,1.19971E+13,1.1087E+13,9.24006E+12,6.4968E+12,3.54014E+12,1.38681E+12
A10,1.6768E+12,4.24896E+12,7.54704E+12,1.05421E+13,1.27373E+13,1.38316E+13,1.3829E+13,1.27333E+13,1.05372E+13,7.53154E+12,4.23651E+12,1.6739E+12
A11,1.77371E+12,4.46061E+12,7.74675E+12,1.07043E+13,1.30904E+13,1.42835E+13,1.42833E+13,1.3088E+13,1.07011E+13,7.74912E+12,4.46523E+12,1.7737E+12
A12,1.77739E+12,4.4741E+12,7.7578E+12,1.06995E+13,1.30774E+13,1.42694E+13,1.42708E+13,1.30761E+13,1.06851E+13,7.72306E+12,4.44353E+12,1.76685E+12
A13,1.67455E+12,4.23784E+12,7.52685E+12,1.05162E+13,1.26998E+13,1.37904E+13,1.37941E+13,1.26999E+13,1.05032E+13,7.5093E+12,4.22468E+12,1.66727E+12
A14,1.3853E+12,3.53632E+12,6.48385E+12,9.20711E+12,1.10396E+13,1.19439E+13,1.19474E+13,1.10352E+13,9.17784E+12,6.43074E+12,3.48943E+12,1.3649E+12
B06,1.21821E+12,3.12783E+12,5.94311E+12,8.68678E+12,1.04876E+13,1.13399E+13,1.13425E+13,1.04933E+13,8.69442E+12,5.94429E+12,3.13238E+12,1.22288E+12
B07,1.78974E+12,4.53811E+12,8.07137E+12,1.12357E+13,1.33691E+13,1.43986E+13,1.44004E+13,1.3371E+13,1.12333E+13,8.05537E+12,4.5249E+12,1.78708E+12
B08,2.19877E+12,5.51517E+12,9.47506E+12,1.28927E+13,1.52151E+13,1.6367E+13,1.63673E+13,1.52165E+13,1.29022E+13,9.50298E+12,5.54424E+12,2.209E+12
B09,2.5848E+12,6.44145E+12,1.07936E+13,1.44663E+13,1.70829E+13,1.84144E+13,1.8412E+13,1.7079E+13,1.44561E+13,1.076E+13,6.41165E+12,2.57759E+12
B10,2.7928E+12,6.89233E+12,1.1294E+13,1.50034E+13,1.79472E+13,1.94573E+13,1.94562E+13,1.79435E+13,1.50053E+13,1.13174E+13,6.91587E+12,2.7979E+12
B11,2.89546E+12,7.11303E+12,1.13694E+13,1.48429E+13,1.81674E+13,1.9844E+13,1.98463E+13,1.81646E+13,1.48245E+13,1.13158E+13,7.06305E+12,2.88047E+12
B12,2.88565E+12,7.07395E+12,1.13228E+13,1.48181E+13,1.81451E+13,1.98228E+13,1.98263E+13,1.81482E+13,1.48162E+13,1.13376E+13,7.08755E+12,2.88447E+12
B13,2.79762E+12,6.91308E+12,1.13014E+13,1.49679E+13,1.78875E+13,1.93938E+13,1.94005E+13,1.78913E+13,1.49448E+13,1.12385E+13,6.85356E+12,2.77664E+12
B14,2.57286E+12,6.39795E+12,1.07259E+13,1.43935E+13,1.69935E+13,1.83178E+13,1.83256E+13,1.69972E+13,1.43823E+13,1.07198E+13,6.39272E+12,2.56488E+12
B15,2.20148E+12,5.52384E+12,9.45799E+12,1.28246E+13,1.51132E+13,1.6254E+13,1.62591E+13,1.51121E+13,1.27952E+13,9.39251E+12,5.46308E+12,2.17783E+12
B16,1.77863E+12,4.50279E+12,8.00744E+12,1.1149E+13,1.32588E+13,1.42773E+13,1.42811E+13,1.32579E+13,1.1133E+13,7.98648E+12,4.48699E+12,1.76961E+12
