Canal,Trozo_11
A09,4.171E+12
A10,4.99147E+12
A11,5.26094E+12
A12,5.23537E+12
A13,4.97753E+12
A14,4.11125E+12
B06,3.69057E+12
B07,5.33125E+12
B08,6.53223E+12
B09,7.55421E+12
B10,8.1483E+12
B11,8.3217E+12
B12,8.35056E+12
B13,8.07488E+12
B14,7.53191E+12
B15,6.43662E+12
B16,5.28658E+12
B17,3.63673E+12
C05,4.55397E+12
C06,6.83034E+12
C07,8.46457E+12
C08,9.56757E+12
C09,1.04071E+13
C10,1.0755E+13
C11,1.09731E+13
C12,1.08917E+13
C13,1.079E+13
C14,1.02818E+13
C15,9.55508E+12
C16,8.33267E+12
C17,6.7693E+12
C18,4.45323E+12
D04,4.86482E+12
D05,7.43057E+12
D06,9.38756E+12
D07,1.07749E+13
D08,1.18982E+13
D09,1.24455E+13
D10,1.28526E+13
D11,1.28301E+13
D12,1.29177E+13
D13,1.27173E+13
D14,1.24924E+13
D15,1.17329E+13
D16,1.07579E+13
D17,9.22103E+12
D18,7.35542E+12
D19,4.75141E+12
E03,4.62386E+12
E04,7.39962E+12
E05,9.64208E+12
E06,1.12978E+13
E07,1.2691E+13
E08,1.34669E+13
E09,1.40875E+13
E10,1.41667E+13
E11,1.43136E+13
E12,1.41802E+13
E13,1.42614E+13
E14,1.39206E+13
E15,1.35184E+13
E16,1.24916E+13
E17,1.12616E+13
E18,9.4639E+12
E19,7.33136E+12
E20,4.54034E+12
F03,6.50236E+12
F04,9.2975E+12
F05,1.12386E+13
F06,1.28681E+13
F07,1.38813E+13
F08,1.47134E+13
F09,1.48373E+13
F10,1.52135E+13
F11,1.49599E+13
F12,1.5195E+13
F13,1.49366E+13
F14,1.50665E+13
F15,1.45336E+13
F16,1.38937E+13
F17,1.26461E+13
F18,1.11945E+13
F19,9.14184E+12
F20,6.48308E+12
G02,5.26924E+12
G03,8.40201E+12
G04,1.07152E+13
G05,1.25821E+13
G06,1.3818E+13
G07,1.48812E+13
G08,1.52323E+13
G09,1.57972E+13
G10,1.56349E+13
G11,1.59019E+13
G12,1.56215E+13
G13,1.58657E+13
G14,1.54773E+13
G15,1.53996E+13
G16,1.45274E+13
G17,1.37826E+13
G18,1.237E+13
G19,1.06739E+13
G20,8.26805E+12
G21,5.26509E+12
H02,6.85381E+12
H03,9.69399E+12
H04,1.1953E+13
H05,1.34345E+13
H06,1.46613E+13
H07,1.52439E+13
H08,1.60336E+13
H09,1.60394E+13
H10,1.64211E+13
H11,1.61389E+13
H12,1.64027E+13
H13,1.60871E+13
H14,1.62497E+13
H15,1.56724E+13
H16,1.53979E+13
H17,1.44617E+13
H18,1.34258E+13
H19,1.17527E+13
H20,9.64759E+12
H21,6.69933E+12
J01,4.61923E+12
J02,8.09582E+12
J03,1.08186E+13
J04,1.27558E+13
J05,1.42314E+13
J06,1.49973E+13
J07,1.59541E+13
J08,1.61531E+13
J09,1.66975E+13
J10,1.64713E+13
J11,1.67458E+13
J12,1.64453E+13
J13,1.67082E+13
J14,1.63081E+13
J15,1.63297E+13
J16,1.55724E+13
J17,1.51274E+13
J18,1.40334E+13
J19,1.27222E+13
J20,1.06055E+13
J21,8.04382E+12
J22,4.5005E+12
K01,5.47416E+12
K02,8.97059E+12
K03,1.14707E+13
K04,1.34933E+13
K05,1.45758E+13
K06,1.56811E+13
K07,1.60605E+13
K08,1.67633E+13
K09,1.66532E+13
K10,1.69817E+13
K11,1.66376E+13
K12,1.6894E+13
K13,1.66149E+13
K14,1.68527E+13
K15,1.63219E+13
K16,1.61904E+13
K17,1.53046E+13
K18,1.46605E+13
K19,1.32614E+13
K20,1.14114E+13
K21,8.75755E+12
K22,5.4251E+12
L01,5.90544E+12
L02,9.30997E+12
L03,1.2001E+13
L04,1.38469E+13
L05,1.52327E+13
L06,1.5824E+13
L07,1.66542E+13
L08,1.66959E+13
L09,1.71539E+13
L10,1.68301E+13
L11,1.70391E+13
L12,1.67341E+13
L13,1.70578E+13
