Canal,Trozo_1,Trozo_2,Trozo_3,Trozo_4,Trozo_5,Trozo_6,Trozo_7,Trozo_8,Trozo_9,Trozo_10,Trozo_11,Trozo_12
A09,1.79E+12,4.59E+12,8.45E+12,1.20E+13,1.45E+13,1.57E+13,1.57E+13,1.45E+13,1.21E+13,8.48E+12,4.62E+12,1.81E+12
A10,2.19E+12,5.55E+12,9.85E+12,1.38E+13,1.66E+13,1.81E+13,1.80E+13,1.66E+13,1.38E+13,9.83E+12,5.53E+12,2.18E+12
A11,2.31E+12,5.82E+12,1.01E+13,1.40E+13,1.71E+13,1.86E+13,1.86E+13,1.71E+13,1.40E+13,1.01E+13,5.83E+12,2.31E+12
A12,2.32E+12,5.84E+12,1.01E+13,1.40E+13,1.71E+13,1.86E+13,1.86E+13,1.71E+13,1.39E+13,1.01E+13,5.80E+12,2.31E+12
A13,2.19E+12,5.53E+12,9.82E+12,1.37E+13,1.66E+13,1.80E+13,1.80E+13,1.66E+13,1.37E+13,9.80E+12,5.51E+12,2.18E+12
A14,1.81E+12,4.62E+12,8.46E+12,1.20E+13,1.44E+13,1.56E+13,1.56E+13,1.44E+13,1.20E+13,8.39E+12,4.55E+12,1.78E+12
B06,1.59E+12,4.08E+12,7.76E+12,1.13E+13,1.37E+13,1.48E+13,1.48E+13,1.37E+13,1.13E+13,7.76E+12,4.09E+12,1.60E+12
B07,2.34E+12,5.92E+12,1.05E+13,1.47E+13,1.74E+13,1.88E+13,1.88E+13,1.75E+13,1.47E+13,1.05E+13,5.91E+12,2.33E+12
B08,2.87E+12,7.20E+12,1.24E+13,1.68E+13,1.99E+13,2.14E+13,2.14E+13,1.99E+13,1.68E+13,1.24E+13,7.24E+12,2.88E+12
B09,3.37E+12,8.41E+12,1.41E+13,1.89E+13,2.23E+13,2.40E+13,2.40E+13,2.23E+13,1.89E+13,1.40E+13,8.37E+12,3.36E+12
B10,3.64E+12,9.00E+12,1.47E+13,1.96E+13,2.34E+13,2.54E+13,2.54E+13,2.34E+13,1.96E+13,1.48E+13,9.03E+12,3.65E+12
B11,3.78E+12,9.28E+12,1.48E+13,1.94E+13,2.37E+13,2.59E+13,2.59E+13,2.37E+13,1.93E+13,1.48E+13,9.22E+12,3.76E+12
B12,3.77E+12,9.23E+12,1.48E+13,1.93E+13,2.37E+13,2.59E+13,2.59E+13,2.37E+13,1.93E+13,1.48E+13,9.25E+12,3.76E+12
B13,3.65E+12,9.02E+12,1.47E+13,1.95E+13,2.33E+13,2.53E+13,2.53E+13,2.34E+13,1.95E+13,1.47E+13,8.94E+12,3.62E+12
