channel,type,a-face,bm(mm),length(mm),inner_diam(mm),thick(mm),bm_near(mm),bm_far(mm)
B13,B,inlet,2333,6171,103.87,4.40,2333,8516
E06,C,inlet,2333,6157,103.73,4.42,2331,8504
J01,A,outlet,2333,6185,103.84,4.45,2334,8527
K12,B,outlet,2333,6157,103.81,4.42,2334,8508
L10,C,inlet,2333,6158,103.79,4.45,2338,8514
M03,C,inlet,2333,6157,103.71,4.41,2333,8505
N20,C,inlet,2333,6156,103.81,4.45,2338,8509
O07,C,inlet,2333,6157,103.73,4.42,2336,8510
O11,C,inlet,2333,6157,103.65,4.46,2338,8511
O13,C,inlet,2333,6156,103.87,4.55,2334,8511
P17,C,outlet,2333,6157,103.73,4.38,2336,8511
T16,C,inlet,2333,6157,103.71,4.53,2338,8508
