********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 B13\E1 24 B13 GA\E1 24 B13 DWS M03.fccp
Collected: 2024/08/18 05:45:11
"Report Created: 2024/10/22 13:38:47"
"Channels: Diameter (1)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 103.0000 to 108.0000"
"Percentiles: 0.0 to 100.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Diameter (1) "
"Axial Offset: 20.40"
"Rotational Offset: 90.00"
"EU Offset: 786244.261493"
"EU Divisor: -7354.702657"
Axial,Minimum,Maximum,Mean
2202.7000,103.9541,104.2663,104.0684
2211.6500,104.2616,104.7345,104.5257
2221.0499,104.7234,104.7968,104.7553
2230.5499,104.7893,104.8935,104.8448
2240.0499,104.7981,104.9175,104.8395
2249.5499,104.9241,107.1981,106.3766
2259.0499,105.1275,106.7133,105.3849
2268.5499,105.0394,105.1268,105.0783
2278.0499,104.9072,105.0404,104.9724
2287.5499,104.8970,104.9696,104.9315
2297.0499,104.9348,104.9882,104.9628
2306.6000,104.9551,105.0270,105.0043
2316.1500,104.9818,105.0527,105.0219
2325.6500,104.5087,105.0808,104.9587
2335.1000,103.8223,104.5056,103.9453
2344.5499,103.8549,103.9987,103.9401
2354.1000,103.9624,104.0758,104.0320
2363.7000,104.0351,104.1006,104.0729
2373.2999,104.0631,104.1016,104.0820
2382.9000,104.0453,104.0986,104.0687
2392.4500,104.0275,104.0850,104.0549
2402.0001,104.0274,104.0752,104.0477
2411.6000,104.0187,104.0745,104.0438
2421.2000,104.0125,104.0756,104.0414
2430.7501,104.0078,104.0753,104.0392
2440.2999,104.0021,104.0771,104.0368
2449.7999,103.9997,104.0766,104.0348
2459.1500,104.0013,104.0782,104.0347
2466.4000,104.0010,104.0786,104.0349
2469.1002,104.0017,104.0789,104.0350
2469.2000,104.0023,104.0790,104.0354
2471.7000,104.0010,104.0796,104.0353
2478.8502,104.0033,104.0815,104.0363
2488.1500,104.0066,104.0838,104.0386
2497.4498,104.0104,104.0879,104.0420
2506.7501,104.0138,104.0936,104.0467
2516.0001,104.0193,104.0956,104.0511
2525.2501,104.0231,104.0989,104.0543
2534.5499,104.0260,104.1034,104.0582
2543.7999,104.0288,104.1077,104.0624
2553.0499,104.0321,104.1080,104.0664
2562.2999,104.0354,104.1126,104.0699
2571.5499,104.0392,104.1159,104.0728
2580.7999,104.0409,104.1194,104.0746
2590.0001,104.0401,104.1186,104.0756
2599.1998,104.0411,104.1202,104.0766
2608.4498,104.0426,104.1221,104.0783
2617.6998,104.0450,104.1224,104.0806
2626.9498,104.0488,104.1238,104.0835
2636.2501,104.0539,104.1232,104.0867
2645.5001,104.0571,104.1246,104.0897
2654.7501,104.0609,104.1243,104.0924
2664.0001,104.0646,104.1262,104.0956
