********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 E06\E1 24 E06 GA\E1 24 E06 DWS M00.fccp
Collected: 2024/08/19 00:26:57
"Report Created: 2024/10/22 13:49:56"
"Channels: Diameter (1)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 103.0000 to 108.0000"
"Percentiles: 1.0 to 98.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Diameter (1) "
"Axial Offset: 20.40"
"Rotational Offset: 90.00"
"EU Offset: 788012.215099"
"EU Divisor: -7372.416702"
Axial,Minimum,Maximum,Mean
2197.3500,103.8365,103.8500,103.8443
2198.2501,103.8455,103.8591,103.8533
2199.1500,103.8542,103.8669,103.8615
2200.0499,103.8620,103.8770,103.8706
2200.9500,103.8721,103.8806,103.8769
2201.8500,103.8759,103.8896,103.8838
2202.7501,103.8846,103.8977,103.8922
2203.6500,103.8930,103.9073,103.9010
2204.5499,103.9020,103.9209,103.9129
2205.4500,103.9156,103.9380,103.9286
2206.4000,103.9330,103.9544,103.9452
2207.2999,103.9495,103.9754,103.9643
2208.2000,103.9707,104.0295,104.0033
2209.1002,104.0245,104.0742,104.0525
2210.0001,104.0694,104.1014,104.0876
2210.9000,104.0963,104.1174,104.1086
2211.7501,104.1130,104.1362,104.1264
2212.7000,104.1311,104.1466,104.1401
2213.6500,104.1419,104.1579,104.1511
2214.5499,104.1528,104.1641,104.1593
2215.4500,104.1594,104.1660,104.1629
2216.4000,104.1610,104.5151,104.2552
2217.3500,104.5134,104.7234,104.5938
2218.2501,104.6912,104.7274,104.7091
2219.1500,104.6961,104.7331,104.7138
2220.0499,104.7008,104.7387,104.7193
2220.9500,104.7055,104.7451,104.7253
2221.8500,104.7121,104.7525,104.7320
2222.7501,104.7191,104.7608,104.7394
2223.6500,104.7269,104.7692,104.7477
2224.5499,104.7350,104.7798,104.7568
2225.4500,104.7434,104.7916,104.7671
2226.3500,104.7552,104.8031,104.7780
2227.2501,104.7670,104.8182,104.7899
2228.1500,104.7806,104.8347,104.8039
2229.0499,104.7947,104.8521,104.8192
2229.9000,104.8091,104.8681,104.8353
2230.7999,104.8195,104.8727,104.8435
2231.6998,104.7946,104.8560,104.8261
