********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 J01\E1 24 J01 GA\E1 24 J01 DWS M00.fccp
Collected: 2024/08/18 15:25:41
"Report Created: 2024/10/22 13:55:22"
"Channels: Diameter (1)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 103.0000 to 108.0000"
"Percentiles: 1.0 to 98.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Diameter (1) "
"Axial Offset: 20.40"
"Rotational Offset: 90.00"
"EU Offset: 787254.617039"
"EU Divisor: -7364.403205"
Axial,Minimum,Maximum,Mean
2196.8500,103.8688,103.8920,103.8797
2197.6998,103.8871,103.9120,103.8989
2198.5499,103.9063,103.9304,103.9171
2199.4500,103.9259,103.9515,103.9378
2200.3500,103.9471,103.9723,103.9584
2201.2501,103.9682,103.9934,103.9790
2202.1500,103.9892,104.0160,104.0011
2203.0001,104.0120,104.0415,104.0245
2203.8500,104.0380,104.0685,104.0504
2204.7501,104.0638,104.0965,104.0767
2205.6500,104.0920,104.1262,104.1052
2206.5001,104.1220,104.1539,104.1344
2207.3500,104.1491,104.1831,104.1617
2208.2501,104.1787,104.2065,104.1892
2209.1500,104.2019,104.2558,104.2201
2210.0001,104.2630,104.3658,104.3050
2210.8500,104.3660,104.4596,104.4061
2211.7501,104.4559,104.5132,104.4778
2212.6500,104.5086,104.5476,104.5250
2213.5499,104.5431,104.5696,104.5536
2214.4000,104.5650,104.5829,104.5734
2215.2501,104.5786,104.5948,104.5857
2216.1500,104.5901,104.6038,104.5972
2217.0499,104.5997,104.6520,104.6143
2217.9500,104.6540,104.7434,104.7129
2218.7999,104.6960,104.7496,104.7202
2219.6500,104.6968,104.7548,104.7235
2220.5499,104.6995,104.7585,104.7267
2221.4000,104.7033,104.7639,104.7309
2222.2501,104.7063,104.7685,104.7356
2223.1500,104.7112,104.7754,104.7409
2224.0001,104.7164,104.7826,104.7467
2224.8500,104.7230,104.7908,104.7540
2225.7501,104.7308,104.7998,104.7621
2226.6002,104.7381,104.8093,104.7711
2227.4500,104.7469,104.8192,104.7803
2228.3500,104.7563,104.8295,104.7902
2229.1998,104.7665,104.8421,104.8010
2230.0499,104.7776,104.8573,104.8135
2230.9500,104.7912,104.8754,104.8290
2231.7999,104.8067,104.8934,104.8451
2232.6500,104.8190,104.8960,104.8537
2233.5001,104.8106,104.8824,104.8437
2234.3500,104.7917,104.8629,104.8262
2235.2501,104.7783,104.8475,104.8120
2236.1500,104.7720,104.8287,104.7996
2237.0001,104.7632,104.8185,104.7903
2237.8500,104.7582,104.8127,104.7822
2238.7501,104.7563,104.8022,104.7766
2239.6500,104.7552,104.8018,104.7751
2240.5499,104.7543,104.8071,104.7762
2241.4000,104.7572,104.8194,104.7826
2242.2501,104.7668,104.8296,104.7939
2243.1500,104.7837,104.8451,104.8117
2244.0001,104.8074,104.8736,104.8382
2244.8500,104.8405,104.9144,104.8734
2245.7501,104.8767,104.9603,104.9139
2246.6500,104.9177,105.0686,104.9802
2247.5001,105.0864,105.8274,105.4986
2248.3500,105.8373,106.4699,106.1861
2249.2501,106.4577,106.6349,106.5437
2250.1500,106.6178,106.8253,106.7198
2251.0001,106.8120,107.0572,106.9350
2251.8500,107.0499,107.3151,107.1808
2252.7501,107.3050,107.4529,107.3926
2253.6002,107.1972,107.3948,107.2853
2254.4500,107.0328,107.2094,107.1172
2255.3500,106.8831,107.0469,106.9695
2256.2501,106.1295,106.9043,106.6960
2257.1002,105.4890,106.2709,105.6989
2257.9500,105.4602,105.5200,105.4927
2258.8500,105.4495,105.5059,105.4801
2259.7501,105.4428,105.5004,105.4746
2260.6002,105.4333,105.4954,105.4679
2261.4500,105.4181,105.4826,105.4529
2262.3500,105.4033,105.4647,105.4366
2263.1998,105.3870,105.4464,105.4197
2264.0499,105.3713,105.4283,105.4034
2264.9500,105.3584,105.4124,105.3892
2265.7999,105.3487,105.3990,105.3775
2266.6500,105.3405,105.3893,105.3681
2267.5001,105.3334,105.3807,105.3602
2268.3500,105.3278,105.3732,105.3540
2269.2501,105.3232,105.3676,105.3495
2270.1002,105.3198,105.3637,105.3465
2270.9500,105.3187,105.3614,105.3447
2271.8500,105.3181,105.3604,105.3447
2272.6998,105.3200,105.3630,105.3471
2273.5499,105.3171,105.3649,105.3453
2274.4500,105.2920,105.3467,105.3241
2275.2999,105.2663,105.3210,105.2981
2276.1500,105.2499,105.2974,105.2788
2277.0499,105.2396,105.2837,105.2667
2277.9500,105.2320,105.2741,105.2582
2278.7999,105.2246,105.2662,105.2513
2279.6500,105.2203,105.2601,105.2457
2280.5001,105.2154,105.2551,105.2411
2281.3500,105.2096,105.2511,105.2372
2282.2501,105.2056,105.2472,105.2332
2283.1500,105.1937,105.2413,105.2245
2284.0001,105.1824,105.2271,105.2113
2284.8500,105.1819,105.2267,105.2099
2285.7501,105.1838,105.2295,105.2121
2286.6002,105.1878,105.2348,105.2159
2287.4500,105.1908,105.2385,105.2198
2288.3500,105.1961,105.2503,105.2277
2289.1998,105.2177,105.2813,105.2515
2290.0499,105.2461,105.2916,105.2744
2290.9500,105.2556,105.2966,105.2813
2291.7999,105.2628,105.3095,105.2895
2292.6500,105.2701,105.3162,105.2923
2293.5499,105.2655,105.3130,105.2881
2294.4000,105.2647,105.3100,105.2865
2295.2501,105.2629,105.3102,105.2860
2296.1500,105.2616,105.3107,105.2851
2297.0499,105.2633,105.3100,105.2860
2297.9500,105.2655,105.3109,105.2888
2298.7999,105.2684,105.3134,105.2924
2299.6500,105.2704,105.3151,105.2944
2300.5499,105.2734,105.3164,105.2966
2301.4500,105.2765,105.3202,105.3001
2302.2999,105.2817,105.3250,105.3051
2303.1500,105.2875,105.3307,105.3113
2304.0499,105.2959,105.3398,105.3199
2304.9000,105.3077,105.3543,105.3334
2305.7501,105.3262,105.3755,105.3532
2306.6500,105.3428,105.4358,105.3646
2307.5001,105.3411,105.4896,105.3644
2308.3500,105.3380,105.3888,105.3599
2309.2501,105.3371,105.3775,105.3582
2310.1500,105.3365,105.3759,105.3569
2311.0001,105.3353,105.3762,105.3560
2311.8500,105.3350,105.3756,105.3554
2312.7501,105.3344,105.3756,105.3556
2313.6002,105.3357,105.3838,105.3565
2314.4500,105.3365,105.3770,105.3577
2315.3500,105.3384,105.3808,105.3604
2316.2501,105.3410,105.3830,105.3629
2317.1002,105.3439,105.3885,105.3663
2317.9500,105.3477,105.3922,105.3705
2318.8500,105.3534,105.3952,105.3750
2319.6998,105.3587,105.4005,105.3806
2320.5499,105.3640,105.4052,105.3860
2321.4500,105.3692,105.4113,105.3919
2322.3500,105.3748,105.4145,105.3959
2323.1998,105.3745,105.4147,105.3951
2324.0499,105.3592,105.4073,105.3827
2324.9000,105.3346,105.3884,105.3617
2325.7501,105.3261,105.3729,105.3492
2326.6500,105.3015,105.3596,105.3306
2327.5499,105.2711,105.3296,105.2967
2328.4000,105.2078,105.2776,105.2471
2329.2501,105.1074,105.2221,105.1640
2330.1002,104.9338,105.1015,105.0283
2330.9500,104.6819,104.9226,104.8055
2331.8500,104.3842,104.6682,104.5343
2332.7501,104.1055,104.3693,104.2307
2333.6500,104.0851,104.1658,104.1279
2334.5001,104.0848,104.1641,104.1273
2335.3500,104.0881,104.1686,104.1341
2336.2501,104.0999,104.1721,104.1411
2337.1500,104.1041,104.1725,104.1426
2338.0001,104.1048,104.5428,104.1476
2338.8500,104.1056,104.1759,104.1445
2339.7501,104.1066,104.1751,104.1450
2340.6500,104.1082,104.1778,104.1468
2341.5499,104.1099,104.2565,104.1505
2342.4000,104.1109,104.5599,104.1567
2343.2501,104.1161,104.1861,104.1544
2344.1500,104.1189,104.1924,104.1572
2345.0499,104.1234,104.1933,104.1611
2345.9500,104.1276,104.1962,104.1649
2346.7999,104.1325,104.2004,104.1689
2347.6500,104.1367,104.2042,104.1725
2348.5499,104.1401,104.2083,104.1759
2349.4000,104.1431,104.2111,104.1792
2350.2501,104.1477,104.2150,104.1828
2351.1500,104.1516,104.2193,104.1863
2352.0499,104.1557,104.2233,104.1899
2352.9000,104.1586,104.2271,104.1933
2353.7501,104.1630,104.2307,104.1965
2354.6500,104.1663,104.2339,104.1994
2355.5499,104.1689,104.2366,104.2018
2356.4000,104.1717,104.2393,104.2044
2357.2501,104.1747,104.2417,104.2065
2358.1500,104.1770,104.2440,104.2087
2359.0499,104.1787,104.2468,104.2107
2359.9500,104.1807,104.2489,104.2125
2360.8500,104.1825,104.2504,104.2139
2361.6998,104.1833,104.2521,104.2151
2362.5499,104.1846,104.2527,104.2162
2363.4500,104.1863,104.2532,104.2171
2364.3500,104.1868,104.2547,104.2180
2365.2501,104.1878,104.2558,104.2187
2366.1500,104.1879,104.2563,104.2193
2367.0499,104.1888,104.2575,104.2196
2367.9500,104.1886,104.2575,104.2198
2368.8500,104.1882,104.2575,104.2199
2369.6998,104.1888,104.2578,104.2198
2370.5499,104.1887,104.2580,104.2198
2371.4500,104.1884,104.2585,104.2197
2372.3500,104.1879,104.2586,104.2195
2373.2501,104.1879,104.2585,104.2192
2374.1500,104.1871,104.2584,104.2189
2375.0499,104.1871,104.2581,104.2184
2375.9000,104.1867,104.2578,104.2182
2376.7501,104.1853,104.2571,104.2177
2377.6500,104.1856,104.2580,104.2172
2378.5499,104.1848,104.2577,104.2169
2379.4500,104.1842,104.2574,104.2164
2380.3500,104.1829,104.2570,104.2159
2381.2501,104.1826,104.2566,104.2152
2382.1002,104.1818,104.2556,104.2148
2382.9500,104.1815,104.2555,104.2144
2383.8500,104.1806,104.2556,104.2142
2384.7501,104.1799,104.2550,104.2135
2385.6500,104.1792,104.2550,104.2130
2386.5499,104.1785,104.2542,104.2123
2387.4000,104.1785,104.2537,104.2120
2388.2501,104.1776,104.2533,104.2116
2389.1500,104.1776,104.2529,104.2114
2390.0499,104.1768,104.2525,104.2111
2390.9500,104.1762,104.2529,104.2108
2391.8500,104.1755,104.2527,104.2106
2392.7501,104.1746,104.2518,104.2102
2393.6002,104.1744,104.2520,104.2098
2394.4500,104.1742,104.2520,104.2096
2395.3500,104.1742,104.2517,104.2093
2396.2501,104.1738,104.2520,104.2092
2397.1500,104.1728,104.2513,104.2089
2398.0499,104.1723,104.2514,104.2086
2398.9000,104.1717,104.2509,104.2084
2399.7501,104.1720,104.2512,104.2081
2400.6500,104.1715,104.2505,104.2079
2401.5499,104.1706,104.2505,104.2078
2402.4500,104.1712,104.2506,104.2078
2403.3500,104.1711,104.2506,104.2077
2404.2501,104.1705,104.2497,104.2077
2405.1500,104.1696,104.2504,104.2075
2406.0001,104.1687,104.2502,104.2073
2406.8500,104.1685,104.2504,104.2070
2407.7501,104.1681,104.2504,104.2069
2408.6500,104.1683,104.2505,104.2068
2409.5499,104.1686,104.2497,104.2069
2410.4500,104.1687,104.2497,104.2068
2411.4000,104.1687,104.2502,104.2068
2412.2999,104.1678,104.2505,104.2067
2413.2000,104.1672,104.2501,104.2065
2414.1500,104.1668,104.2499,104.2064
2415.0499,104.1675,104.2498,104.2066
2415.9500,104.1674,104.2506,104.2067
2416.8500,104.1677,104.2505,104.2067
2417.7501,104.1666,104.2508,104.2066
2418.6500,104.1663,104.2504,104.2066
2419.5499,104.1666,104.2505,104.2066
2420.4500,104.1666,104.2504,104.2066
2421.3500,104.1659,104.2502,104.2065
2422.2999,104.1660,104.2494,104.2063
2423.2501,104.1655,104.2490,104.2063
2424.1500,104.1649,104.2495,104.2061
2425.0499,104.1645,104.2487,104.2060
2425.9500,104.1639,104.2487,104.2059
2426.8500,104.1641,104.2493,104.2060
2427.7501,104.1648,104.2490,104.2062
2428.6500,104.1651,104.2494,104.2062
2429.5499,104.1639,104.2497,104.2061
2430.4500,104.1637,104.2493,104.2061
2431.3500,104.1632,104.2497,104.2061
2432.2501,104.1625,104.2493,104.2059
2433.1500,104.1628,104.2490,104.2059
2434.0499,104.1629,104.2498,104.2060
2435.0001,104.1624,104.2495,104.2059
2435.9000,104.1625,104.2491,104.2060
2436.7999,104.1624,104.2497,104.2059
2437.6998,104.1617,104.2495,104.2059
2438.6000,104.1617,104.2490,104.2058
2439.5001,104.1611,104.2489,104.2057
2440.4000,104.1610,104.2491,104.2056
2441.3500,104.1606,104.2491,104.2055
2442.2501,104.1607,104.2490,104.2054
2443.1500,104.1603,104.2490,104.2053
2444.0499,104.1596,104.2489,104.2053
2444.9500,104.1599,104.2487,104.2052
2445.8500,104.1598,104.2490,104.2052
2446.7501,104.1594,104.2491,104.2051
2447.6500,104.1599,104.2486,104.2050
2448.5499,104.1598,104.2487,104.2049
2449.4500,104.1592,104.2487,104.2050
2450.3500,104.1596,104.2493,104.2050
2451.2501,104.1598,104.2486,104.2050
2452.1500,104.1595,104.2490,104.2049
2453.0499,104.1602,104.2494,104.2052
2453.9500,104.1602,104.2490,104.2053
2454.8500,104.1609,104.2495,104.2055
2455.7501,104.1607,104.2498,104.2056
2456.6500,104.1602,104.2501,104.2057
2457.5499,104.1607,104.2504,104.2059
2458.4500,104.1598,104.2501,104.2060
2459.3500,104.1600,104.2508,104.2062
2460.2501,104.1607,104.2510,104.2065
2461.1500,104.1606,104.2520,104.2069
2462.0499,104.1610,104.2525,104.2074
2463.0001,104.1613,104.2521,104.2075
2463.9500,104.1618,104.2524,104.2077
2464.8500,104.1621,104.2529,104.2081
2465.7501,104.1622,104.2529,104.2082
2466.6500,104.1625,104.2527,104.2080
2467.6000,104.1626,104.2524,104.2078
