********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 K12\E1 24 K12 GA\E1 24 K12 DWS M02.fccp
Collected: 2024/08/16 06:50:46
"Report Created: 2024/10/22 14:01:58"
"Channels: Diameter (1)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 103.0000 to 108.0000"
"Percentiles: 0.0 to 100.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Diameter (1) "
"Axial Offset: 20.40"
"Rotational Offset: 90.00"
"EU Offset: 796089.461409"
"EU Divisor: -7442.007592"
Axial,Minimum,Maximum,Mean
2211.1000,104.2535,104.6732,104.5251
2220.2501,104.6581,104.7312,104.6861
2229.5001,104.7178,104.8066,104.7594
2238.6998,104.6940,104.8527,104.7514
2247.8500,104.8347,107.3820,106.4165
2256.9000,105.0654,106.8626,105.5671
2265.9500,104.9997,105.0897,105.0335
2275.0499,104.9064,105.0425,104.9657
2284.1500,104.8781,104.9685,104.9181
2293.2999,104.9486,105.0038,104.9791
2302.4500,104.9595,105.0686,105.0109
2311.6002,105.0325,105.0893,105.0584
2320.7501,105.0056,105.1181,105.0761
2329.7999,103.8046,105.0151,104.3587
2338.8500,103.8083,103.9263,103.8628
2347.9500,103.9031,104.0541,103.9735
2357.0499,104.0118,104.1347,104.0692
2366.1500,104.0700,104.1668,104.1161
2375.2000,104.0897,104.1788,104.1316
2384.2501,104.0936,104.1877,104.1377
2393.3500,104.0962,104.2046,104.1457
2402.4500,104.0984,104.2268,104.1598
2411.5001,104.1159,104.2536,104.1801
2420.5001,104.1332,104.2772,104.2027
2429.5001,104.1529,104.2977,104.2249
2438.5001,104.1740,104.3151,104.2452
2447.5001,104.1922,104.3349,104.2646
2456.4500,104.2114,104.3533,104.2824
2464.7501,104.2278,104.3593,104.2928
2468.6998,104.2293,104.3701,104.3009
2468.7999,104.2422,104.3706,104.3045
2469.5499,104.2425,104.3695,104.3042
2474.8500,104.2481,104.3740,104.3115
2483.9500,104.2660,104.3740,104.3202
2493.0001,104.2805,104.3720,104.3277
2502.1002,104.2966,104.3789,104.3374
2511.2501,104.3140,104.3899,104.3497
2520.3500,104.3314,104.4031,104.3642
2529.4500,104.3512,104.4192,104.3812
2538.5499,104.3726,104.4342,104.4000
2547.6500,104.3937,104.4514,104.4199
2556.7999,104.4141,104.4692,104.4404
2566.0001,104.4357,104.4889,104.4619
2575.1500,104.4611,104.5087,104.4841
2584.2501,104.4823,104.5299,104.5062
2593.4000,104.5033,104.5517,104.5290
2602.5499,104.5274,104.5740,104.5516
2611.6500,104.5498,104.5978,104.5741
2620.7999,104.5693,104.6214,104.5960
2629.9500,104.5878,104.6420,104.6168
2639.0499,104.6029,104.6643,104.6366
2648.1500,104.6155,104.6826,104.6552
2657.2501,104.6439,104.6990,104.6733
2666.4000,104.6609,104.7124,104.6872
2675.5499,104.6772,104.7227,104.6987
2684.6998,104.6857,104.7293,104.7089
2693.9000,104.6863,104.7360,104.7182
2703.1002,104.6914,104.7503,104.7269
2712.2999,104.6964,104.7645,104.7349
2721.4500,104.6972,104.7761,104.7400
2730.6002,104.6934,104.7835,104.7398
2739.7999,104.6799,104.7823,104.7353
2749.0001,104.6644,104.7797,104.7305
2758.2501,104.6582,104.7813,104.7296
2767.5001,104.6601,104.7866,104.7337
2776.6998,104.6676,104.7930,104.7430
2785.9000,104.6857,104.8011,104.7558
2795.1500,104.7088,104.8101,104.7713
2804.3500,104.7373,104.8215,104.7886
2813.5499,104.7628,104.8336,104.8058
2822.7501,104.7862,104.8493,104.8237
2831.8500,104.8085,104.8637,104.8416
2841.0001,104.8316,104.8773,104.8595
2850.1500,104.8529,104.8888,104.8740
2859.2501,104.8688,104.8938,104.8837
2868.3500,104.8797,104.8989,104.8882
2877.4500,104.8800,104.9009,104.8902
2886.5499,104.8820,104.9131,104.8964
2895.6500,104.8965,104.9391,104.9152
2904.7999,104.9208,104.9727,104.9442
2914.0001,104.9504,105.0053,104.9743
2923.1500,104.9727,105.0288,104.9984
2932.2999,104.9841,105.0444,105.0146
2941.5001,104.9954,105.0597,105.0277
2950.6998,105.0037,105.0667,105.0372
2959.9000,105.0024,105.0720,105.0416
2969.1002,104.9946,105.0722,105.0373
2978.2501,104.9846,105.0644,105.0264
2987.4000,104.9783,105.0505,105.0133
2996.6002,104.9742,105.0381,105.0034
3005.7999,104.9737,105.0335,104.9992
3014.9500,104.9774,105.0315,105.0006
3024.1002,104.9850,105.0358,105.0058
3033.2999,104.9946,105.0427,105.0146
3042.5001,105.0080,105.0545,105.0271
3051.6998,105.0235,105.0677,105.0429
3060.9000,105.0405,105.0837,105.0604
3070.1002,105.0585,105.1006,105.0787
3079.2999,105.0775,105.1183,105.0977
3088.5001,105.0959,105.1393,105.1179
3097.6998,105.1148,105.1611,105.1399
3106.8500,105.1416,105.1846,105.1613
3116.0001,105.1628,105.2050,105.1814
3125.1998,105.1824,105.2261,105.1999
3134.4498,105.1859,105.2450,105.2166
3143.6998,105.2022,105.2585,105.2311
3152.9498,105.2140,105.2710,105.2421
3162.2501,105.2227,105.2847,105.2508
3171.5001,105.2284,105.2935,105.2579
3180.6998,105.2295,105.2983,105.2634
3189.9498,105.2266,105.3016,105.2674
3199.1998,105.2219,105.3034,105.2683
