********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 L10\E1 24 L10 GA\E1 24 L10 DWS M01.fccp
Collected: 2024/08/15 21:01:12
"Report Created: 2024/10/22 14:19:28"
"Channels: Diameter (1)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 103.0000 to 108.0000"
"Percentiles: 0.0 to 100.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Diameter (1) "
"Axial Offset: 20.40"
"Rotational Offset: 90.00"
"EU Offset: 795374.242092"
"EU Divisor: -7434.837621"
Axial,Minimum,Maximum,Mean
2212.5001,104.2712,104.7019,104.5431
2221.7501,104.6618,104.7621,104.7146
2230.9500,104.7244,104.8497,104.7996
2240.1500,104.7396,104.9059,104.7901
2249.2999,104.8556,107.3428,106.2772
2258.2999,104.9859,106.9115,105.5927
2267.2999,104.8990,104.9928,104.9324
2276.2999,104.8286,104.9300,104.8742
2285.3500,104.7932,104.8908,104.8258
2294.4000,104.8655,104.9058,104.8914
2303.4500,104.8787,104.9756,104.9270
2312.5499,104.9306,104.9800,104.9573
2321.6500,104.9539,105.0146,104.9893
2330.6500,103.7406,104.9613,104.3907
2339.6500,103.7216,103.8137,103.7694
2348.6500,103.7785,103.8782,103.8293
2357.6500,103.8392,103.9168,103.8789
2366.7501,103.8693,103.9324,103.9020
2375.7999,103.8818,103.9394,103.9098
2384.7999,103.8835,103.9435,103.9131
2393.8500,103.8827,103.9486,103.9166
2402.9000,103.8861,103.9535,103.9205
2411.9000,103.8858,103.9593,103.9245
2420.9000,103.8897,103.9669,103.9282
2429.9000,103.8899,103.9710,103.9320
2438.8500,103.8922,103.9757,103.9352
2447.7999,103.8932,103.9817,103.9386
2456.7501,103.8927,103.9903,103.9427
2465.0001,103.8889,103.9937,103.9447
2468.9000,103.8887,104.0027,103.9491
2469.0001,103.8889,104.0038,103.9492
2472.2501,103.8864,104.0092,103.9502
2480.0499,103.8795,104.0226,103.9555
2489.1998,103.8743,104.0381,103.9617
2498.3500,103.8728,104.0531,103.9690
2507.4500,103.8732,104.0643,103.9764
2516.6002,103.8817,104.0693,103.9826
2525.7501,103.8940,104.0693,103.9872
2534.8500,103.9098,104.0627,103.9908
2543.9500,103.9279,104.0549,103.9936
2553.1002,103.9421,104.0502,103.9974
2562.2501,103.9533,104.0503,104.0026
2571.4000,103.9630,104.0522,104.0087
2580.5499,103.9722,104.0593,104.0165
2589.6998,103.9801,104.0681,104.0255
2598.8500,103.9901,104.0782,104.0353
2607.9500,104.0006,104.0870,104.0454
2617.0499,104.0093,104.0969,104.0559
2626.1500,104.0158,104.1065,104.0666
2635.2501,104.0324,104.1160,104.0777
2644.3500,104.0334,104.1274,104.0877
2653.5001,104.0533,104.1376,104.0987
2662.6500,104.0619,104.1469,104.1089
2671.7501,104.0743,104.1558,104.1188
2680.9000,104.0848,104.1645,104.1278
2690.0499,104.0938,104.1723,104.1369
2699.1000,104.1005,104.1801,104.1457
2708.1500,104.1133,104.1885,104.1542
2717.2501,104.1213,104.1965,104.1625
2726.3500,104.1247,104.2055,104.1702
2735.4000,104.1355,104.2168,104.1776
2744.4500,104.1329,104.2296,104.1837
2753.5499,104.1390,104.2404,104.1892
2762.6500,104.1305,104.2518,104.1928
2771.7501,104.1212,104.2618,104.1951
2780.9000,104.1157,104.2667,104.1967
2790.0499,104.1154,104.2700,104.1979
2799.1500,104.1189,104.2698,104.1993
2808.2501,104.1294,104.2653,104.2010
2817.4000,104.1388,104.2618,104.2033
2826.5499,104.1480,104.2597,104.2063
2835.6998,104.1570,104.2587,104.2099
2844.8500,104.1641,104.2593,104.2141
2854.0001,104.1695,104.2608,104.2189
2863.1998,104.1741,104.2610,104.2239
2872.3500,104.1821,104.2645,104.2300
2881.4500,104.1833,104.2674,104.2365
2890.6002,104.2084,104.2728,104.2439
2899.7501,104.2151,104.2786,104.2513
2908.8500,104.2302,104.2823,104.2590
2917.9500,104.2423,104.2881,104.2668
2927.1002,104.2506,104.2943,104.2747
2936.2501,104.2626,104.3000,104.2823
2945.3500,104.2694,104.3040,104.2876
2954.4500,104.2733,104.3059,104.2903
2963.5499,104.2743,104.3044,104.2889
2972.6998,104.2719,104.3021,104.2870
2981.9000,104.2693,104.3025,104.2859
2991.0499,104.2689,104.3154,104.2924
3000.1500,104.2766,104.3359,104.3057
3009.2501,104.2912,104.3591,104.3219
3018.3500,104.2957,104.3789,104.3361
3027.4500,104.2962,104.3941,104.3465
3036.5499,104.2944,104.4066,104.3534
3045.6000,104.2904,104.4147,104.3575
3054.6998,104.2891,104.4193,104.3596
3063.8500,104.2887,104.4222,104.3608
3072.9500,104.2904,104.4238,104.3619
3082.0499,104.2959,104.4213,104.3633
3091.1998,104.3043,104.4194,104.3654
3100.3500,104.3139,104.4163,104.3680
3109.5001,104.3243,104.4142,104.3706
3118.6998,104.3348,104.4116,104.3735
3127.8500,104.3450,104.4078,104.3747
3137.0001,104.3552,104.4077,104.3824
3146.1500,104.3606,104.4062,104.3870
3155.2501,104.3698,104.4092,104.3922
3164.3500,104.3742,104.4152,104.3983
3173.4500,104.3862,104.4240,104.4051
3182.5499,104.3947,104.4308,104.4119
3191.6500,104.4015,104.4371,104.4185
3200.7999,104.4072,104.4448,104.4255
3209.9500,104.4144,104.4511,104.4327
3219.0499,104.4236,104.4588,104.4410
3228.1998,104.4308,104.4669,104.4487
3237.3500,104.4353,104.4736,104.4556
3246.4000,104.4349,104.4823,104.4604
3255.5001,104.4381,104.4916,104.4649
3264.6500,104.4363,104.5021,104.4690
3273.7501,104.4358,104.5146,104.4733
3282.8500,104.4363,104.5250,104.4787
3291.9000,104.4353,104.5366,104.4841
3300.9500,104.4335,104.5446,104.4888
3310.0499,104.4311,104.5509,104.4920
3319.1500,104.4288,104.5531,104.4937
3328.2501,104.4272,104.5535,104.4938
3337.3500,104.4275,104.5512,104.4928
3346.5001,104.4289,104.5481,104.4921
3355.6500,104.4342,104.5456,104.4919
3364.7999,104.4394,104.5441,104.4930
3374.0001,104.4456,104.5418,104.4940
3383.1998,104.4502,104.5380,104.4951
3392.3500,104.4572,104.5335,104.4965
3401.4500,104.4653,104.5275,104.4983
3410.5499,104.4745,104.5242,104.5012
3419.6500,104.4827,104.5207,104.5048
3428.7501,104.4922,104.5180,104.5076
3437.8500,104.4994,104.5234,104.5091
3446.9500,104.4970,104.5192,104.5075
3456.0499,104.4875,104.5138,104.5020
3465.1998,104.4775,104.5063,104.4932
3474.3500,104.4704,104.4986,104.4848
3483.4500,104.4694,104.4994,104.4849
3492.5499,104.4799,104.5193,104.4986
3501.6998,104.5013,104.5411,104.5189
3510.9000,104.5222,104.5608,104.5381
3520.0499,104.5345,104.5766,104.5530
3529.1500,104.5392,104.5897,104.5636
3538.2501,104.5456,104.6030,104.5718
3547.3500,104.5435,104.6159,104.5781
3556.4500,104.5433,104.6288,104.5845
3565.6002,104.5437,104.6385,104.5899
3574.7501,104.5418,104.6466,104.5940
3583.9000,104.5419,104.6509,104.5963
3593.0499,104.5382,104.6532,104.5961
3602.1998,104.5347,104.6521,104.5948
3611.4000,104.5349,104.6478,104.5935
3620.5499,104.5351,104.6427,104.5926
3629.6998,104.5370,104.6381,104.5921
