********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 M03\E1 24 M03 GA\E1 24 M03 DWS M01.fccp
Collected: 2024/08/17 20:37:33
"Report Created: 2024/10/22 14:23:36"
"Channels: Diameter (1)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 103.0000 to 108.0000"
"Percentiles: 1.0 to 98.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Diameter (1) "
"Axial Offset: 20.40"
"Rotational Offset: 90.00"
"EU Offset: 790038.979334"
"EU Divisor: -7389.708984"
Axial,Minimum,Maximum,Mean
2206.5001,104.0762,104.5327,104.2212
2215.1002,104.5651,104.7366,104.6782
2223.9500,104.7062,104.8137,104.7523
2232.7501,104.7569,104.8849,104.8205
2241.5499,104.7612,105.3665,104.8550
2250.3502,105.6304,107.1629,106.7030
2259.0499,105.0357,105.6931,105.1505
2267.7999,104.9357,105.0466,104.9744
2276.6002,104.8141,104.9597,104.8685
2285.4500,104.7572,104.8150,104.7841
2294.2999,104.7965,104.8593,104.8308
2303.1002,104.8445,104.9238,104.8819
2311.9500,104.8875,104.9290,104.9094
2320.8500,104.8945,104.9730,104.9420
2329.6998,103.5619,104.9104,104.2949
2338.5499,103.5697,103.6429,103.6019
2347.3502,103.6395,103.7278,103.6770
2356.1500,103.7117,103.7781,103.7392
2365.0001,103.7429,103.7981,103.7661
2373.7999,103.7452,103.8057,103.7712
2382.6500,103.7391,103.8086,103.7694
2391.5001,103.7336,103.8113,103.7676
2400.2999,103.7305,103.8123,103.7666
2409.1500,103.7289,103.8123,103.7665
2418.0001,103.7280,103.8118,103.7662
2426.8500,103.7291,103.8132,103.7658
2435.6998,103.7293,103.8149,103.7656
2444.5001,103.7276,103.8175,103.7655
2453.2999,103.7251,103.8206,103.7658
2462.0499,103.7271,103.8236,103.7681
2467.8500,103.7261,103.8244,103.7692
2469.3500,103.7271,103.8307,103.7728
2469.4000,103.7297,103.8305,103.7746
2471.7000,103.7297,103.8312,103.7739
2478.4500,103.7318,103.8402,103.7789
2487.3500,103.7391,103.8494,103.7865
2496.1998,103.7456,103.8597,103.7952
2505.0499,103.7521,103.8685,103.8036
2513.9500,103.7582,103.8765,103.8110
2522.8500,103.7642,103.8850,103.8180
2531.7501,103.7663,103.8927,103.8241
2540.7000,103.7694,103.9007,103.8299
2549.6500,103.7719,103.9083,103.8359
2558.5499,103.7745,103.9152,103.8413
2567.4500,103.7766,103.9206,103.8459
2576.3500,103.7797,103.9237,103.8503
2585.2999,103.7847,103.9289,103.8553
2594.2501,103.7892,103.9341,103.8597
2603.1500,103.7934,103.9383,103.8637
2612.0001,103.7977,103.9425,103.8681
2620.8500,103.8038,103.9456,103.8728
2629.7501,103.8082,103.9481,103.8767
2638.6500,103.8178,103.9493,103.8808
2647.5499,103.8259,103.9502,103.8840
2656.4500,103.8303,103.9506,103.8871
2665.3500,103.8385,103.9533,103.8909
2674.2999,103.8440,103.9554,103.8950
2683.2501,103.8524,103.9577,103.8992
2692.1500,103.8574,103.9596,103.9029
2701.0499,103.8638,103.9612,103.9070
2709.9500,103.8708,103.9631,103.9112
2718.8500,103.8764,103.9655,103.9153
2727.7501,103.8799,103.9663,103.9195
2736.6500,103.8727,103.9693,103.9235
2745.5499,103.8925,103.9735,103.9293
2754.5001,103.8987,103.9778,103.9342
2763.4500,103.9038,103.9818,103.9389
2772.3500,103.9111,103.9870,103.9444
2781.2501,103.9164,103.9918,103.9490
2790.1500,103.9213,103.9960,103.9534
2799.0499,103.9239,103.9996,103.9577
2807.9500,103.9271,104.0037,103.9622
2816.8500,103.9295,104.0075,103.9663
2825.7501,103.9312,104.0096,103.9697
2834.6002,103.9326,104.0121,103.9722
2843.5001,103.9351,104.0149,103.9745
2852.4500,103.9383,104.0191,103.9769
2861.2999,103.9385,104.0222,103.9789
2870.1500,103.9389,104.0243,103.9809
2879.0001,103.9394,104.0266,103.9834
2887.8500,103.9417,104.0309,103.9858
2896.6998,103.9448,104.0348,103.9890
2905.5499,103.9508,104.0370,103.9921
2914.4500,103.9550,104.0378,103.9950
2923.2999,103.9608,104.0378,103.9981
2932.1500,103.9685,104.0387,104.0012
2941.0499,103.9736,104.0405,104.0033
2949.9500,103.9741,104.0404,104.0031
2958.9000,103.9684,104.0386,104.0005
2967.7999,103.9626,104.0378,103.9977
2976.6500,103.9601,104.0370,103.9960
2985.5499,103.9616,104.0410,103.9988
2994.4500,103.9666,104.0524,104.0076
3003.3500,103.9758,104.0632,104.0182
3012.1998,103.9826,104.0735,104.0276
3021.0499,103.9884,104.0803,104.0359
3029.9500,103.9918,104.0852,104.0413
3038.8500,103.9946,104.0922,104.0462
3047.7999,103.9975,104.0981,104.0507
3056.7501,103.9992,104.1021,104.0538
3065.6500,104.0029,104.1069,104.0575
3074.5499,104.0059,104.1113,104.0610
3083.4500,104.0100,104.1163,104.0646
3092.3500,104.0141,104.1214,104.0679
3101.2501,104.0184,104.1270,104.0713
3110.1500,104.0209,104.1302,104.0742
3119.0499,104.0222,104.1345,104.0769
3127.9500,104.0228,104.1391,104.0795
3136.8500,104.0236,104.1425,104.0825
3145.7501,104.0262,104.1463,104.0851
3154.6500,104.0299,104.1492,104.0880
3163.5499,104.0322,104.1512,104.0907
3172.4500,104.0378,104.1516,104.0944
3181.3500,104.0437,104.1502,104.0981
3190.2501,104.0547,104.1494,104.1022
3199.1500,104.0611,104.1500,104.1057
3208.0001,104.0686,104.1504,104.1089
3216.8500,104.0760,104.1528,104.1132
3225.6998,104.0835,104.1520,104.1172
