********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 O13\E1 24 O13 GA\E1 24 O13 DWS M02.fccp
Collected: 2024/08/16 21:30:47
"Report Created: 2024/10/22 14:36:47"
"Channels: Diameter (1)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 103.0000 to 108.0000"
"Percentiles: 1.0 to 97.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Diameter (1) "
"Axial Offset: 20.40"
"Rotational Offset: 90.00"
"EU Offset: 794771.348376"
"EU Divisor: -7430.619992"
Axial,Minimum,Maximum,Mean
2211.2000,104.2109,104.6760,104.4597
2220.2501,104.6850,104.7547,104.7228
2229.3500,104.7488,104.8566,104.8019
2238.5001,104.7496,104.8470,104.7937
2247.6500,104.7847,107.2971,105.8769
2256.7501,105.2656,107.6590,106.4665
2265.9000,105.1164,105.2935,105.1830
2275.1500,105.0007,105.1645,105.0754
2284.4498,104.9513,105.0451,104.9836
2293.6998,104.9240,104.9956,104.9528
2302.9498,104.9340,105.0311,104.9774
2312.1998,104.9794,105.0329,105.0033
2321.4498,104.9759,105.0691,105.0294
2330.6998,103.8170,104.9762,104.3970
2339.8500,103.8191,103.9242,103.8703
2349.0001,103.8392,103.9480,103.8981
2358.1500,103.8573,103.9840,103.9195
2367.2999,103.8645,103.9959,103.9261
2376.4500,103.8731,103.9980,103.9302
2385.6002,103.8724,104.0027,103.9347
2394.7501,103.8681,104.0113,103.9364
2403.9000,103.8650,104.0226,103.9387
2413.1002,103.8626,104.0385,103.9425
2422.2501,103.8589,104.0328,103.9407
2431.4000,103.8568,104.0365,103.9424
2440.6002,103.8565,104.0359,103.9462
2449.7999,103.8610,104.0471,103.9496
2461.7000,103.8634,104.0463,103.9543
2469.0001,103.8708,104.0552,103.9591
2471.4500,103.8696,104.0705,103.9618
2478.6000,103.8781,104.0659,103.9656
2488.0001,103.8833,104.0751,103.9744
2497.4500,103.8908,104.0778,103.9826
2506.9000,103.9025,104.0876,103.9938
2516.2999,103.9124,104.0965,104.0045
2525.7000,103.9273,104.1020,104.0150
2535.1500,103.9409,104.1087,104.0245
2544.6000,103.9541,104.1039,104.0308
2554.0001,103.9689,104.1107,104.0401
2563.4500,103.9778,104.1099,104.0461
2572.9000,103.9864,104.1173,104.0527
2582.2999,104.0005,104.1159,104.0587
2591.7000,104.0072,104.1319,104.0664
2601.1000,104.0118,104.1278,104.0715
2610.5499,104.0212,104.1331,104.0793
2620.0001,104.0289,104.1317,104.0842
2629.4000,104.0360,104.1453,104.0903
2638.7999,104.0396,104.1535,104.0982
2648.2000,104.0479,104.1539,104.1057
2657.6000,104.0554,104.1643,104.1144
2667.0001,104.0608,104.1732,104.1211
2676.3502,104.0701,104.1830,104.1260
2685.7000,104.0760,104.1842,104.1332
2695.0499,104.0819,104.1958,104.1401
2704.4000,104.0885,104.1994,104.1461
2713.7501,104.0928,104.2122,104.1531
2723.1000,104.1009,104.2130,104.1623
2732.4000,104.1118,104.2265,104.1666
2741.6500,104.1181,104.2261,104.1730
2750.9000,104.1243,104.2243,104.1770
2760.1500,104.1297,104.2364,104.1827
2769.4000,104.1390,104.2364,104.1874
2778.6002,104.1430,104.2393,104.1932
2787.7999,104.1494,104.2442,104.1976
2797.0001,104.1549,104.2469,104.2025
2806.1998,104.1605,104.2516,104.2070
2815.4000,104.1669,104.2555,104.2119
2824.6002,104.1708,104.2671,104.2186
2833.7999,104.1786,104.2693,104.2230
2843.0499,104.1821,104.2806,104.2289
2852.2999,104.1880,104.2810,104.2330
2861.5001,104.1939,104.2794,104.2367
2870.7501,104.1918,104.2909,104.2425
2880.0001,104.1994,104.2978,104.2461
2889.2501,104.2045,104.2993,104.2512
2898.5499,104.2119,104.3047,104.2564
2907.7999,104.2149,104.3083,104.2607
2917.0001,104.2231,104.3141,104.2667
2926.2501,104.2281,104.3189,104.2708
2935.5001,104.2328,104.3160,104.2732
2944.6998,104.2386,104.3167,104.2751
2953.9498,104.2390,104.3121,104.2766
2963.1998,104.2383,104.3092,104.2729
2972.4000,104.2356,104.3118,104.2690
2981.6002,104.2339,104.3020,104.2663
2990.7999,104.2398,104.3180,104.2731
3000.0001,104.2496,104.3180,104.2827
3009.1998,104.2656,104.3286,104.2983
3018.4000,104.2817,104.3413,104.3110
3027.6500,104.2946,104.3623,104.3223
3036.9000,104.3037,104.3654,104.3297
3046.2501,104.3068,104.3664,104.3373
3055.6500,104.3111,104.3724,104.3417
3064.9000,104.3153,104.3742,104.3424
3074.1002,104.3187,104.3838,104.3460
3083.2999,104.3183,104.3880,104.3507
3092.5001,104.3215,104.3895,104.3540
3101.6998,104.3245,104.4026,104.3596
3110.9000,104.3258,104.4040,104.3647
3120.1500,104.3316,104.4098,104.3700
3129.4000,104.3347,104.4057,104.3734
3138.6002,104.3428,104.4166,104.3806
3147.8502,104.3495,104.4227,104.3854
3157.1002,104.3537,104.4236,104.3889
3166.2999,104.3623,104.4297,104.3944
3175.5001,104.3690,104.4379,104.4011
3184.6998,104.3744,104.4371,104.4063
3193.9000,104.3803,104.4422,104.4113
3203.1002,104.3831,104.4472,104.4153
3212.2999,104.3861,104.4549,104.4202
3221.5001,104.3911,104.4598,104.4249
3230.6998,104.3977,104.4613,104.4299
3240.0001,104.3990,104.4624,104.4325
3249.4500,104.3994,104.4749,104.4381
3258.7999,104.3995,104.4814,104.4407
3268.0001,104.4018,104.4846,104.4430
3277.2501,104.4029,104.4890,104.4463
3286.5001,104.4068,104.4916,104.4500
3295.6998,104.4080,104.5018,104.4571
3304.9000,104.4118,104.5021,104.4579
3314.1002,104.4150,104.5025,104.4604
3323.3502,104.4144,104.5106,104.4636
3332.6002,104.4191,104.5098,104.4672
3341.7999,104.4218,104.5079,104.4706
3351.0499,104.4305,104.5232,104.4733
3360.3502,104.4356,104.5098,104.4748
3369.6002,104.4413,104.5180,104.4801
3378.7999,104.4483,104.5162,104.4853
3388.0001,104.4547,104.5234,104.4883
3397.1998,104.4621,104.5174,104.4916
3406.4000,104.4678,104.5235,104.4942
3415.6002,104.4667,104.5223,104.4965
3424.8502,104.4815,104.5251,104.5008
3434.1002,104.4882,104.5182,104.5016
3443.2999,104.4859,104.5282,104.5012
3452.5001,104.4806,104.5216,104.4959
3461.7501,104.4703,104.5117,104.4866
3471.0001,104.4571,104.4977,104.4758
3480.1500,104.4520,104.5057,104.4732
3489.2999,104.4550,104.5072,104.4787
3498.5001,104.4639,104.5252,104.4956
3507.6998,104.4826,104.5496,104.5135
3516.9498,104.4950,104.5569,104.5295
3526.1998,104.5037,104.5717,104.5384
3535.4000,104.5115,104.5841,104.5455
3544.6500,104.5119,104.5857,104.5495
3553.9000,104.5134,104.5912,104.5521
3563.1002,104.5172,104.5916,104.5566
3572.2999,104.5201,104.5967,104.5605
3581.5001,104.5242,104.5936,104.5626
3590.6998,104.5290,104.5972,104.5669
3599.9000,104.5326,104.6046,104.5719
3609.1002,104.5398,104.6108,104.5755
3618.2999,104.5423,104.6314,104.5801
3627.5001,104.5449,104.6138,104.5823
3636.6998,104.5499,104.6154,104.5834
3645.9498,104.5519,104.6168,104.5860
3655.1998,104.5563,104.6215,104.5895
3664.4000,104.5604,104.6220,104.5922
3673.5499,104.5624,104.6251,104.5956
3682.6998,104.5609,104.6320,104.5971
3691.9000,104.5652,104.6312,104.6008
3701.0499,104.5647,104.6446,104.6044
3710.1998,104.5631,104.6538,104.6102
