********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 P17\E1 24 P17 GA\E1 24 P17 DWS M02.fccp
Collected: 2024/08/15 12:09:08
"Report Created: 2024/10/22 14:39:15"
"Channels: Diameter (1)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 103.0000 to 108.0000"
"Percentiles: 0.0 to 100.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Diameter (1) "
"Axial Offset: 20.40"
"Rotational Offset: 90.00"
"EU Offset: 796038.514551"
"EU Divisor: -7439.898777"
Axial,Minimum,Maximum,Mean
2215.9498,104.3056,104.7337,104.6102
2225.7501,104.7312,104.8151,104.7733
2235.4000,104.7838,104.8769,104.8413
2244.8500,104.7875,105.2124,104.8671
2254.2501,105.2367,107.4015,106.7366
2263.5499,105.1910,105.8225,105.3059
2272.8502,105.0954,105.2213,105.1640
2282.1002,104.9815,105.1110,105.0461
2291.3502,104.9594,105.0192,104.9873
2300.6002,104.9485,104.9979,104.9753
2309.9000,104.9895,105.0476,105.0267
2319.2501,105.0175,105.0795,105.0464
2328.5499,104.5018,105.0901,104.9592
2337.7999,103.8696,104.4960,103.9624
2347.0001,103.9046,104.0364,103.9650
2356.1998,104.0364,104.1598,104.0978
2365.4000,104.1578,104.2147,104.1834
2374.6002,104.1976,104.2268,104.2123
2383.7501,104.2031,104.2235,104.2143
2392.9498,104.2020,104.2214,104.2122
2402.1998,104.2043,104.2278,104.2147
2411.4000,104.2110,104.2402,104.2235
2420.5499,104.2214,104.2571,104.2383
2429.6500,104.2394,104.2761,104.2575
2438.7501,104.2608,104.2979,104.2783
2447.8500,104.2820,104.3212,104.2992
2457.0001,104.3004,104.3413,104.3189
2465.2999,104.3223,104.3602,104.3425
2469.0001,104.3301,104.3601,104.3437
2472.6002,104.3327,104.3655,104.3479
2480.7999,104.3480,104.3813,104.3648
2490.0001,104.3610,104.3975,104.3817
2499.1500,104.3745,104.4157,104.3983
2508.2501,104.3895,104.4328,104.4138
2517.3500,104.4031,104.4515,104.4292
2526.4500,104.4188,104.4660,104.4440
2535.5499,104.4327,104.4812,104.4582
2544.6998,104.4457,104.4944,104.4716
2553.8500,104.4571,104.5087,104.4850
2562.9500,104.4676,104.5207,104.4976
2572.1002,104.4812,104.5319,104.5091
2581.2501,104.4937,104.5406,104.5198
2590.3500,104.5065,104.5476,104.5298
2599.4500,104.5171,104.5583,104.5394
