********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 T16\E1 24 T16 GA\E1 24 T16 DWS M00.fccp
Collected: 2024/08/14 00:37:10
"Report Created: 2024/10/22 14:41:09"
"Channels: Diameter (1)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 103.0000 to 108.0000"
"Percentiles: 1.0 to 98.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Diameter (1) "
"Axial Offset: 20.40"
"Rotational Offset: 90.00"
"EU Offset: 796875.355124"
"EU Divisor: -7446.225221"
Axial,Minimum,Maximum,Mean
2206.1500,104.0634,104.0874,104.0751
2207.0001,104.0812,104.1103,104.0955
2207.8500,104.1041,104.1281,104.1165
2208.7501,104.1214,104.1462,104.1377
2209.6002,104.1399,104.1564,104.1516
2210.4500,104.1301,104.1935,104.1661
2211.3500,104.1898,104.2417,104.2152
2212.2501,104.2326,104.2648,104.2482
2213.1500,104.2599,104.3472,104.3027
2214.0499,104.3490,104.4395,104.4063
2215.0001,104.4460,104.5177,104.4915
2215.9500,104.5203,104.5661,104.5490
2216.9000,104.5643,104.6489,104.5952
2217.8500,104.6374,104.6914,104.6674
2218.7501,104.6563,104.7080,104.6838
2219.7000,104.6696,104.7182,104.6950
2220.6500,104.6746,104.7275,104.7032
2221.5499,104.6806,104.7318,104.7084
2222.4500,104.6856,104.7357,104.7125
2223.3500,104.6900,104.7404,104.7164
2224.2999,104.6934,104.7457,104.7208
2225.2501,104.6999,104.7516,104.7262
2226.1500,104.7055,104.7584,104.7327
2227.1000,104.7120,104.7663,104.7398
2228.0499,104.7197,104.7752,104.7477
2228.9500,104.7294,104.7839,104.7562
2229.8500,104.7363,104.7914,104.7653
2230.7501,104.7467,104.8027,104.7758
2231.6500,104.7564,104.8122,104.7871
2232.5499,104.7688,104.8240,104.8000
2233.4500,104.7824,104.8377,104.8145
2234.3500,104.7974,104.8537,104.8307
2235.2501,104.8129,104.8692,104.8466
2236.1500,104.8235,104.8770,104.8565
2237.1000,104.8077,104.8692,104.8437
2238.0499,104.7893,104.8459,104.8213
2238.9500,104.7717,104.8360,104.8056
2239.8500,104.7619,104.8271,104.7951
2240.7501,104.7577,104.8128,104.7863
2241.7000,104.7482,104.8110,104.7798
2242.6500,104.7469,104.8051,104.7773
2243.5499,104.7488,104.8075,104.7795
2244.4500,104.7504,104.8173,104.7865
2245.3500,104.7628,104.8295,104.7995
2246.2501,104.7891,104.8467,104.8194
2247.2000,104.8180,104.8776,104.8486
2248.1500,104.8498,104.9176,104.8860
2249.0499,104.8870,104.9657,104.9307
2249.9500,104.9548,105.4027,105.0823
2250.8500,105.4422,106.1991,105.7929
2251.7999,106.2190,106.6139,106.4779
2252.7501,106.6035,106.7972,106.7063
2253.6500,106.7997,107.0162,106.9007
2254.5499,107.0180,107.2669,107.1335
2255.4500,107.2708,107.5089,107.3893
2256.3500,107.2520,107.4853,107.3689
2257.2999,107.0380,107.2454,107.1417
2258.2501,106.8668,107.0378,106.9509
2259.1500,106.7176,106.8765,106.7988
2260.1000,105.6674,106.7370,106.2847
2261.0499,105.2622,105.5816,105.3865
2262.0001,105.2359,105.2828,105.2571
2262.9500,105.2134,105.2672,105.2431
2263.9000,105.2049,105.2703,105.2305
2264.9000,105.1801,105.2546,105.2078
2265.8500,105.1587,105.2226,105.1843
2266.7999,105.1404,105.2010,105.1636
2267.7501,105.1090,105.1727,105.1339
2268.7000,105.1010,105.1476,105.1187
2269.6500,105.0940,105.1382,105.1126
2270.6000,105.0817,105.1290,105.1004
2271.5499,105.0784,105.1144,105.0948
2272.5001,105.0651,105.1075,105.0864
2273.4500,105.0672,105.1014,105.0844
2274.4000,105.0611,105.0981,105.0791
2275.3500,105.0685,105.0992,105.0849
2276.2999,105.0655,105.1002,105.0848
2277.2501,105.0638,105.1002,105.0842
2278.2000,105.0350,105.0862,105.0590
2279.1500,105.0095,105.0558,105.0318
2280.0499,104.9971,105.0334,105.0166
