channel,gs1_design,gs2_design,gs3_design,gs4_design,gs1_isi24,gs2_isi24,gs3_isi24,gs4_isi24
B13,3869,4910,5926,6967,3872,4917,5937,6978
E06,3861,4902,5918,6959,ND,4920,5927,6972
J01,3877,4918,5934,6975,ND,4924,5941,ND
K12,3861,4902,5918,6959,3872,4916,5932,ND
L10,3861,4902,5918,6959,3872,4909,5930,6972
M03,3861,4902,5918,6959,ND,4904,5931,6972
N20,3861,4902,5918,6959,ND,4909,5932,6970
O07,3861,4902,5918,6959,ND,4914,5925,6977
O11,3861,4902,5918,6959,ND,4909,5926,6967
O13,3861,4902,5918,6959,ND,4911,5937,6973
P17,3861,4902,5918,6959,ND,4913,5927,ND
T16,3861,4902,5918,6959,ND,4902,5922,6971
