********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 B13\E1 24 B13 GA\E1 24 B13 DWS M01.fccp
Collected: 2024/08/17 23:29:11
"Report Created: 2024/10/22 13:53:47"
"Channels: Wall Thickness (4)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 3.5000 to 5.0000"
"Percentiles: 1.0 to 99.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Wall Thickness (4) "
"Axial Offset: 49.00"
"Rotational Offset: 180.00"
"EU Offset: 0.000000"
"EU Divisor: 3464.580000"
Axial,Minimum,Maximum,Mean
2224.9500,3.5990,5.3181,4.2763
2225.8501,3.6019,5.3856,4.1399
2226.7500,3.7742,4.3838,4.0664
2227.7000,3.3251,4.1517,3.4204
2228.6499,3.3496,3.4174,3.3789
2229.5500,3.3623,3.4264,3.3903
2230.4500,3.3643,3.4287,3.3933
2231.3501,3.3614,3.4267,3.3904
2232.2500,3.3502,3.4226,3.3823
2233.1499,3.3346,3.4102,3.3660
2234.1001,3.3098,3.3892,3.3449
2235.0500,3.3052,5.0996,3.8151
2235.9500,3.0171,5.2165,4.0354
2236.8501,3.0881,5.4572,4.1524
2237.7500,3.5251,5.3516,4.1527
2238.6499,3.4789,5.6526,4.3215
2239.5500,3.5283,5.5502,4.1970
2240.4500,3.5006,5.2416,4.0000
2241.3999,3.1135,4.5596,3.6777
2242.3501,2.9897,4.1598,3.1728
2243.2500,3.0370,3.1678,3.0969
2244.1499,3.0486,3.1655,3.1018
2245.1001,-0.0075,4.2502,1.4641
2246.0500,-0.0075,3.1248,0.1438
2246.9500,-0.0092,4.1812,0.0806
2247.8501,-0.0078,5.2399,2.0846
2248.7500,-0.0046,5.5857,4.2746
2249.7000,2.4315,5.5256,3.5847
2250.6001,2.7187,4.2747,3.2093
2251.5000,3.2209,6.7662,4.1934
2252.4500,3.4573,7.8792,4.6316
2253.3501,3.5924,7.3922,4.7797
2254.2500,3.5473,7.5337,4.9150
2255.1499,3.4564,8.0414,5.1139
2256.0500,3.5375,5.3227,3.9400
2256.9500,3.5473,3.6553,3.6035
2257.8501,3.5534,3.6535,3.6073
2258.7500,3.5600,3.6642,3.6187
2259.6499,3.5733,3.6818,3.6330
2260.5500,3.5670,3.6824,3.6281
2261.4500,3.5696,3.6864,3.6312
2262.3501,3.5846,3.6963,3.6449
2263.2500,3.6019,3.7087,3.6597
2264.1499,3.6186,3.7263,3.6758
2265.0500,3.6385,3.7419,3.6915
2266.0000,3.6530,3.7508,3.7025
2266.9500,3.6657,3.7580,3.7123
2267.8501,3.6761,3.7655,3.7203
2268.7500,3.6864,3.7733,3.7283
2269.6499,3.6847,3.7736,3.7296
2270.5500,3.6821,3.7713,3.7284
2271.4500,2.9628,3.7650,3.6971
2272.3501,2.9507,4.5287,4.4255
2273.2500,4.4357,4.5373,4.4718
2274.1499,4.4288,4.5411,4.4735
2275.0500,2.0173,4.9544,4.2997
2275.9500,2.5215,4.6248,3.8907
2276.8999,1.9821,4.1281,3.6463
2277.8501,3.7497,3.8334,3.7940
2278.7500,3.7448,3.8137,3.7801
2279.6499,3.7471,3.8117,3.7795
2280.5500,3.7494,3.8160,3.7810
2281.4500,3.7502,3.9413,3.7859
2282.3501,3.7505,3.8882,3.7850
2283.3000,3.7575,3.9523,3.7929
2284.2500,3.7745,4.0559,3.8608
2285.2000,3.7563,4.0467,3.8205
2286.1499,3.7987,3.8541,3.8278
2287.1001,3.8146,5.3322,4.3630
2288.0500,4.5642,4.6661,4.6270
2288.9500,4.5830,4.6892,4.6458
2289.8999,4.5893,4.6996,4.6545
2290.8501,4.5954,5.2739,4.6648
2291.8000,4.6340,5.6183,5.3526
2292.7500,3.7465,5.7427,4.3772
2293.6499,3.7465,4.0472,3.8776
2294.6001,3.7528,4.0288,3.8400
2295.5500,3.7563,4.0392,3.8830
2296.4500,3.7427,4.0435,3.9485
2297.3501,3.7396,4.0345,3.9739
2298.2500,3.7315,4.0334,3.9017
2299.1499,3.7300,4.0455,3.8357
2300.0500,3.7344,4.0198,3.7857
2300.9500,3.7742,3.8285,3.7992
2301.8999,3.8019,3.8700,3.8349
2302.8501,3.8438,4.4880,4.2265
2303.7500,4.4002,4.7091,4.4519
2304.7000,4.4274,4.5261,4.4699
2305.6499,4.4355,4.5345,4.4754
2306.5500,4.4392,4.5434,4.4798
2307.5000,3.1623,4.5601,3.9479
2308.4500,3.7678,3.8316,3.7964
2309.3501,3.7557,3.8391,3.7946
2310.3000,3.7430,3.8285,3.7860
2311.2500,3.7528,3.8772,3.7931
2312.1499,3.7436,3.9517,3.8206
2313.0500,3.7355,4.0002,3.8508
2314.0000,3.7323,4.0141,3.8635
2314.9500,3.7315,4.0135,3.8576
2315.8501,3.7286,4.0074,3.8460
2316.7500,3.7266,4.0065,3.8401
2317.6499,3.7228,3.9982,3.8324
2318.6001,3.7179,3.9956,3.8248
2319.5500,3.7133,3.9921,3.8251
2320.4500,3.6645,3.9973,3.7642
2321.3501,3.6994,3.7863,3.7374
2322.3000,3.6916,3.7820,3.7347
2323.2500,3.6922,3.7826,3.7367
2324.1499,3.7015,3.7956,3.7513
2325.1001,3.7084,3.8158,3.7628
2326.0500,3.7064,3.8184,3.7621
2326.9500,3.7147,3.8279,3.7679
2327.8501,3.7199,3.8331,3.7790
2328.8000,3.7416,3.8515,3.7998
2329.7500,3.7823,3.8816,3.8289
2330.7000,3.8181,3.9104,3.8619
2331.6499,-0.0075,4.3601,1.4373
2332.5500,-0.0032,4.5267,4.3338
2333.4500,4.3298,4.4323,4.3758
2334.3501,4.3137,4.4242,4.3577
2335.3000,4.3030,4.4103,4.3488
2336.2500,4.3024,4.4086,4.3477
2337.1499,4.3053,4.4089,4.3480
2338.0500,4.3007,4.4086,4.3469
2339.0000,4.3018,4.4054,4.3456
2339.9500,4.3030,4.4023,4.3466
2340.8501,4.3018,4.4052,4.3469
2341.8000,4.3007,4.3971,4.3447
2342.7500,4.3038,4.3994,4.3471
2343.6499,4.3038,4.4008,4.3475
2344.6001,4.3027,4.3988,4.3474
2345.5500,4.3038,4.3985,4.3478
2346.4500,4.3015,4.3988,4.3473
2347.3501,4.3007,4.3979,4.3464
2348.3000,4.3007,4.3968,4.3459
2349.2500,4.3004,4.3948,4.3455
2350.1499,4.2998,4.3939,4.3450
2351.1001,4.2992,4.3936,4.3446
2352.0500,4.2992,4.3927,4.3440
2352.9500,4.2986,4.3916,4.3435
2353.8501,4.2992,4.3913,4.3430
2354.8000,4.2978,4.3896,4.3428
2355.7500,4.2984,4.3870,4.3422
2356.6499,4.2975,4.3881,4.3423
2357.5500,4.2981,4.3870,4.3427
2358.5000,4.2972,4.3870,4.3425
2359.4500,4.2972,4.3875,4.3424
2360.3501,4.2975,4.3852,4.3425
2361.3000,4.2969,4.3855,4.3417
2362.2500,4.2975,4.3838,4.3417
2363.1499,4.2981,4.3832,4.3411
2364.0500,4.2984,4.3821,4.3407
2364.9500,4.2981,4.3823,4.3406
2365.8501,4.2972,4.3803,4.3401
2366.8000,4.2978,4.3798,4.3394
2367.7500,4.2969,4.3806,4.3396
2368.6499,4.2969,4.3818,4.3393
2369.5500,4.2978,4.3806,4.3401
2370.4500,4.2995,4.3795,4.3405
2371.3501,4.2995,4.3789,4.3407
2372.3000,4.2984,4.3777,4.3404
2373.2500,4.2978,4.3806,4.3407
2374.1499,4.2995,4.3798,4.3416
2375.0500,4.3001,4.3795,4.3420
2375.9500,4.2995,4.3823,4.3429
2376.8501,4.3007,4.3829,4.3439
2377.7500,4.2995,4.3829,4.3444
2378.7000,4.2995,4.3821,4.3445
2379.6499,4.3018,4.3835,4.3450
2380.5500,4.3015,4.3838,4.3455
2381.4500,4.3015,4.3841,4.3459
2382.3501,4.3021,4.3838,4.3466
2383.2500,4.3012,4.3841,4.3470
2384.1499,4.3024,4.3858,4.3477
2385.0500,4.3021,4.3855,4.3478
2385.9500,4.3027,4.3867,4.3483
2386.8999,4.3018,4.3861,4.3489
2387.8501,4.3036,4.3870,4.3495
2388.7500,4.3030,4.3893,4.3499
2389.6499,4.3050,4.3899,4.3506
2390.5500,4.3027,4.3913,4.3512
2391.4500,4.3056,4.3922,4.3522
2392.3501,4.3059,4.3927,4.3531
2393.2500,4.3061,4.3933,4.3539
2394.2000,4.3076,4.3942,4.3547
2395.1499,4.3067,4.3948,4.3550
2396.0500,4.3079,4.3948,4.3552
2397.0000,4.3064,4.3948,4.3551
2397.9500,4.3050,4.3950,4.3554
2398.8501,4.3064,4.3956,4.3558
2399.7500,4.3061,4.3945,4.3559
2400.7000,4.3030,4.3948,4.3556
2401.6499,4.3033,4.3959,4.3558
2402.5500,4.3030,4.3942,4.3559
2403.4500,4.3030,4.3962,4.3562
2404.3501,4.3041,4.3950,4.3564
2405.2500,4.3038,4.3950,4.3563
2406.1499,4.3053,4.3953,4.3564
2407.1001,4.3036,4.3962,4.3569
2408.0500,4.3038,4.3962,4.3567
2408.9500,4.3036,4.3948,4.3569
2409.8501,4.3053,4.3945,4.3570
2410.7500,4.3021,4.3939,4.3567
2411.6499,4.3044,4.3942,4.3577
2412.5500,4.3053,4.3948,4.3575
2413.4500,4.3056,4.3950,4.3578
2414.3501,4.3061,4.3945,4.3584
2415.2500,4.3064,4.3945,4.3584
2416.1499,4.3044,4.3930,4.3571
2417.0500,4.3038,4.3933,4.3575
2417.9500,4.3050,4.3939,4.3580
2418.8501,4.3050,4.3950,4.3586
2419.7500,4.3067,4.3948,4.3586
2420.6499,4.3067,4.3942,4.3585
2421.5000,4.3070,4.3936,4.3585
2422.3501,4.3059,4.3942,4.3588
2423.2500,4.3061,4.3942,4.3586
2424.1499,4.3073,4.3950,4.3590
2425.0500,4.3073,4.3942,4.3591
2425.9500,4.3076,4.3942,4.3592
2426.8501,4.3064,4.3939,4.3592
2427.7500,4.3076,4.3945,4.3593
2428.6499,4.3082,4.3942,4.3596
2429.5500,4.3079,4.3950,4.3598
2430.4500,4.3079,4.3942,4.3601
2431.3501,4.3087,4.3962,4.3599
2432.2500,4.3067,4.3959,4.3601
2433.1499,4.3067,4.3968,4.3601
2434.0500,4.3076,4.3959,4.3607
2434.9500,4.3070,4.3976,4.3608
2435.7998,4.3067,4.3959,4.3610
2436.7000,4.3087,4.3968,4.3608
2437.6499,4.3090,4.3968,4.3612
2438.5500,4.3090,4.3965,4.3617
2439.4500,4.3102,4.3976,4.3620
2440.3501,4.3116,4.3994,4.3624
2441.2500,4.3119,4.3991,4.3627
2442.1499,4.3102,4.3994,4.3625
2443.0500,4.3119,4.3994,4.3627
2444.0000,4.3128,4.4017,4.3632
2445.0000,4.3134,4.4034,4.3639
2445.9500,4.3154,4.3994,4.3641
2446.8501,4.3168,4.4026,4.3645
2447.7500,4.3183,4.4008,4.3645
2448.6499,4.3191,4.4011,4.3647
2449.5500,4.3188,4.4002,4.3648
2450.4500,4.3194,4.4011,4.3652
2451.3501,4.3203,4.4014,4.3654
2452.2500,4.3194,4.4017,4.3657
2453.1499,4.3194,4.4017,4.3656
2454.0500,4.3203,4.4026,4.3660
2454.9500,4.3220,4.4043,4.3664
2455.8501,4.3212,4.4043,4.3666
2456.7500,4.3229,4.4026,4.3665
2457.6499,4.3238,4.4034,4.3665
2458.5500,4.3232,4.4023,4.3667
2459.4500,4.3238,4.4034,4.3670
2460.3501,4.3246,4.4028,4.3674
2461.2500,4.3252,4.4040,4.3678
2462.1499,4.3249,4.4031,4.3675
2463.0500,4.3249,4.4014,4.3677
2463.9500,4.3266,4.4028,4.3678
2464.8501,4.3278,4.4040,4.3681
2465.7500,4.3292,4.4026,4.3681
2466.6499,4.3292,4.4031,4.3685
2467.5500,4.3304,4.4037,4.3689
2468.4500,4.3313,4.4031,4.3688
2469.3501,4.3313,4.4028,4.3687
2470.2500,4.3315,4.4031,4.3689
2471.1499,4.3324,4.4026,4.3690
2472.0500,4.3339,4.4011,4.3689
2472.9500,4.3347,4.4014,4.3692
2473.8501,4.3336,4.4037,4.3692
2474.7500,4.3362,4.4020,4.3693
2475.6499,4.3370,4.4023,4.3698
2476.5500,4.3391,4.4034,4.3699
2477.4500,4.3388,4.4040,4.3699
2478.3501,4.3373,4.4020,4.3699
2479.2002,4.3396,4.4020,4.3697
2480.0500,4.3396,4.4028,4.3704
2480.9500,4.3399,4.4034,4.3705
2481.8501,4.3405,4.4043,4.3704
2482.7500,4.3405,4.4034,4.3707
2483.6499,4.3411,4.4031,4.3706
2484.5500,4.3411,4.4040,4.3710
2485.4500,4.3408,4.4031,4.3712
2486.3501,4.3419,4.4043,4.3715
2487.2500,4.3419,4.4046,4.3719
2488.1499,4.3417,4.4040,4.3722
2489.0500,4.3422,4.4052,4.3720
2489.9500,4.3428,4.4057,4.3724
2490.8501,4.3425,4.4040,4.3723
2491.7500,4.3431,4.4052,4.3725
2492.6499,4.3428,4.4052,4.3723
2493.5500,4.3419,4.4052,4.3722
2494.4500,4.3434,4.4054,4.3728
2495.3501,4.3428,4.4054,4.3727
2496.2500,4.3419,4.4054,4.3725
2497.1499,4.3431,4.4057,4.3726
2497.8000,4.3448,4.4077,4.3742
2498.0000,4.3445,4.4086,4.3745
2498.2500,4.3437,4.4080,4.3747
2498.9500,4.3440,4.4072,4.3746
2499.8501,4.3442,4.4083,4.3749
2500.7500,4.3431,4.4077,4.3750
2501.6499,4.3440,4.4083,4.3754
2502.5500,4.3448,4.4095,4.3755
2503.3999,4.3445,4.4095,4.3756
2504.3000,4.3445,4.4092,4.3762
2505.2002,4.3457,4.4118,4.3765
2506.0500,4.3468,4.4103,4.3768
2506.9500,4.3471,4.4115,4.3773
2507.8501,4.3477,4.4098,4.3773
2508.7500,4.3480,4.4103,4.3772
2509.6499,4.3463,4.4115,4.3778
2510.5500,4.3466,4.4135,4.3779
2511.4500,4.3471,4.4121,4.3779
2512.3501,4.3463,4.4135,4.3781
2513.2500,4.3442,4.4132,4.3784
2514.1499,4.3448,4.4147,4.3785
2515.0500,4.3460,4.4147,4.3787
2515.9500,4.3468,4.4147,4.3790
2516.8501,4.3457,4.4132,4.3792
2517.7500,4.3451,4.4135,4.3790
2518.6499,4.3442,4.4144,4.3789
2519.5500,4.3457,4.4141,4.3791
2520.4500,4.3460,4.4138,4.3790
2521.3501,4.3442,4.4141,4.3791
2522.2500,4.3437,4.4144,4.3792
2523.1499,4.3440,4.4144,4.3793
2524.0500,4.3428,4.4153,4.3795
2524.9500,4.3434,4.4158,4.3798
2525.8501,4.3428,4.4158,4.3802
2526.7500,4.3437,4.4167,4.3804
2527.6499,4.3440,4.4161,4.3805
2528.5500,4.3431,4.4158,4.3804
2529.4500,4.3422,4.4164,4.3806
2530.3501,4.3434,4.4170,4.3805
2531.2500,4.3437,4.4167,4.3809
2532.1499,4.3422,4.4173,4.3808
2533.0500,4.3431,4.4164,4.3810
2533.9500,4.3428,4.4173,4.3812
2534.8501,4.3428,4.4184,4.3811
2535.7500,4.3434,4.4176,4.3813
2536.6499,4.3431,4.4184,4.3815
2537.5000,4.3428,4.4176,4.3814
2538.3501,4.3411,4.4173,4.3812
2539.2500,4.3431,4.4176,4.3815
2540.1499,4.3428,4.4179,4.3812
2541.0500,4.3425,4.4176,4.3811
2541.9500,4.3419,4.4176,4.3810
2542.8501,4.3414,4.4170,4.3809
2543.7500,4.3422,4.4167,4.3807
2544.6499,4.3419,4.4167,4.3810
2545.5500,4.3425,4.4170,4.3811
2546.4500,4.3425,4.4179,4.3811
2547.3501,4.3425,4.4176,4.3814
2548.2500,4.3428,4.4181,4.3813
2549.1499,4.3408,4.4173,4.3808
2550.0500,4.3417,4.4187,4.3811
2550.9500,4.3419,4.4187,4.3813
2551.8501,4.3402,4.4184,4.3815
2552.7500,4.3414,4.4190,4.3813
2553.6499,4.3419,4.4193,4.3814
2554.5500,4.3419,4.4190,4.3815
2555.4500,4.3425,4.4196,4.3817
2556.3501,4.3431,4.4187,4.3820
2557.2500,4.3431,4.4193,4.3821
2558.1499,4.3425,4.4193,4.3823
2559.0500,4.3431,4.4184,4.3821
2559.9500,4.3428,4.4190,4.3824
2560.8501,4.3437,4.4207,4.3828
2561.7500,4.3425,4.4202,4.3827
2562.6499,4.3440,4.4204,4.3827
2563.5500,4.3434,4.4219,4.3828
2564.4500,4.3437,4.4207,4.3825
2565.3501,4.3440,4.4199,4.3824
2566.2500,4.3434,4.4190,4.3823
2567.1001,4.3428,4.4202,4.3825
2568.0000,4.3451,4.4193,4.3825
2568.8999,4.3445,4.4204,4.3831
2569.7500,4.3445,4.4199,4.3828
2570.6499,4.3460,4.4196,4.3826
2571.6001,4.3468,4.4202,4.3825
2572.5500,4.3457,4.4204,4.3824
2573.3999,4.3463,4.4219,4.3825
2574.2500,4.3474,4.4196,4.3822
2575.1499,4.3468,4.4196,4.3824
2576.0500,4.3480,4.4196,4.3824
2576.9500,4.3483,4.4190,4.3823
2577.8501,4.3489,4.4190,4.3821
2578.7500,4.3489,4.4193,4.3823
2579.6499,4.3486,4.4184,4.3819
2580.5500,4.3494,4.4187,4.3822
2581.4500,4.3497,4.4184,4.3822
2582.3501,4.3494,4.4187,4.3824
2583.2500,4.3503,4.4193,4.3827
2584.1499,4.3500,4.4187,4.3828
2585.0500,4.3518,4.4202,4.3836
2585.9500,4.3512,4.4196,4.3837
2586.8501,4.3526,4.4204,4.3845
2587.7500,4.3541,4.4210,4.3847
2588.6499,4.3564,4.4213,4.3852
2589.5500,4.3569,4.4216,4.3856
2590.4500,4.3584,4.4213,4.3860
2591.3501,4.3593,4.4219,4.3866
2592.2500,4.3604,4.4210,4.3868
2593.1499,4.3595,4.4228,4.3863
2594.0500,4.3601,4.4207,4.3855
2594.9500,4.3595,4.4190,4.3847
2595.8501,4.3607,4.4179,4.3845
2596.7500,4.3624,4.4202,4.3845
2597.6499,4.3639,4.4184,4.3848
2598.5500,4.3650,4.4207,4.3861
2599.4500,4.3647,4.4204,4.3859
2600.3501,4.3653,4.4190,4.3860
2601.2500,4.3653,4.4199,4.3860
2602.1001,4.3656,4.4207,4.3864
2603.0000,4.3656,4.4199,4.3862
2603.9500,4.3647,4.4196,4.3861
2604.8501,4.3650,4.4184,4.3863
2605.7500,4.3653,4.4184,4.3862
2606.6001,4.3653,4.4179,4.3863
2607.4500,4.3647,4.4181,4.3863
2608.3501,4.3642,4.4202,4.3865
2609.3000,4.3645,4.4176,4.3866
2610.2500,4.3639,4.4179,4.3865
2611.1499,4.3621,4.4176,4.3865
2612.0000,4.3642,4.4179,4.3868
2612.8501,4.3619,4.4199,4.3868
2613.7500,4.3630,4.4190,4.3871
2614.6499,4.3642,4.4179,4.3875
2615.5500,4.3627,4.4184,4.3877
2616.4500,4.3636,4.4184,4.3880
2617.3501,4.3627,4.4184,4.3881
2618.2500,4.3619,4.4181,4.3887
2619.1499,4.3653,4.4184,4.3891
2620.0500,4.3645,4.4193,4.3887
2620.9500,4.3645,4.4184,4.3887
2621.8501,4.3630,4.4193,4.3887
2622.7500,4.3627,4.4179,4.3878
2623.6499,4.3619,4.4167,4.3870
2624.5500,4.3607,4.4153,4.3865
2625.4500,4.3616,4.4155,4.3871
2626.3501,4.3607,4.4153,4.3866
2627.2500,4.3616,4.4158,4.3874
2628.1499,4.3624,4.4161,4.3876
2629.0500,4.3624,4.4170,4.3877
2629.9500,4.3621,4.4167,4.3879
2630.7998,4.3613,4.4176,4.3878
2631.6499,4.3616,4.4173,4.3880
2632.5500,4.3616,4.4170,4.3881
2633.4500,4.3621,4.4176,4.3883
2634.3501,4.3621,4.4173,4.3883
2635.2500,4.3613,4.4170,4.3884
2636.1499,4.3621,4.4170,4.3884
2637.0500,4.3610,4.4167,4.3882
2637.9500,4.3607,4.4164,4.3884
2638.8501,4.3607,4.4167,4.3886
2639.7500,4.3613,4.4176,4.3886
2640.6499,4.3604,4.4170,4.3883
2641.5500,4.3598,4.4179,4.3883
2642.4500,4.3590,4.4184,4.3883
2643.3501,4.3572,4.4187,4.3884
2644.2500,4.3598,4.4184,4.3887
2645.1499,4.3578,4.4204,4.3887
2646.0500,4.3587,4.4184,4.3888
2646.9500,4.3595,4.4202,4.3892
2647.8501,4.3604,4.4193,4.3890
2648.7500,4.3595,4.4193,4.3890
2649.6499,4.3598,4.4202,4.3890
2650.5500,4.3593,4.4216,4.3894
2651.4500,4.3569,4.4213,4.3893
2652.3501,4.3593,4.4202,4.3892
2653.2500,4.3575,4.4210,4.3893
2654.1499,4.3575,4.4213,4.3895
2655.0500,4.3587,4.4233,4.3898
2655.8999,4.3590,4.4225,4.3897
2656.7500,4.3587,4.4251,4.3898
