********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 E06\E1 24 E06 GA\E1 24 E06 DWS M00.fccp
Collected: 2024/08/19 00:26:57
"Report Created: 2024/10/22 13:50:19"
"Channels: Wall Thickness (4)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 3.5000 to 5.0000"
"Percentiles: 1.0 to 99.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Wall Thickness (4) "
"Axial Offset: 49.00"
"Rotational Offset: 180.00"
"EU Offset: 0.000000"
"EU Divisor: 3464.580000"
Axial,Minimum,Maximum,Mean
2225.9500,3.3245,4.1474,3.9024
2226.8501,3.3392,3.3955,3.3695
2227.7500,3.3568,3.4033,3.3845
2228.6499,3.3588,3.4099,3.3896
2229.5500,3.3577,3.4114,3.3895
2230.4500,3.3516,3.4108,3.3868
2231.3501,3.3381,3.4053,3.3789
2232.2500,3.3213,3.3958,3.3635
2233.1499,3.2930,3.3701,3.3407
2234.0500,3.1963,4.4773,3.6988
2235.0000,2.9083,5.3002,4.0449
2235.8999,3.0792,5.4304,4.2129
2236.8000,3.3842,5.7450,4.2978
2237.7002,3.2570,5.7228,4.2655
2238.6001,3.2451,5.5005,4.1488
2239.5000,3.1334,5.2598,3.8912
2240.3501,2.9770,4.7004,3.5611
2241.3000,2.9660,4.6164,3.2876
2242.2500,3.0610,4.3899,3.1904
2243.1499,-0.0075,4.3327,2.9366
2244.0500,-0.0089,4.2666,0.7767
2245.0000,-0.0087,-0.0032,-0.0059
2245.9500,-0.0078,5.6010,2.9765
2246.8501,3.4267,6.6248,5.4019
2247.7500,3.6446,6.6998,5.2819
2248.6499,3.0382,5.7747,4.6723
2249.5500,3.5418,6.1984,5.0879
2250.4500,3.5375,5.6780,4.2981
2251.3501,3.4833,5.5834,4.1600
2252.2500,3.4437,5.3911,4.1015
2253.1499,3.4304,5.3311,4.0402
2254.0500,3.4388,5.2638,3.9457
2254.9500,3.4509,4.9634,3.8654
2255.8501,2.6566,5.1885,3.8810
2256.7500,-0.0081,5.2783,2.4492
2257.6499,-0.0081,4.0019,2.3590
2258.5000,3.6671,4.0464,3.7690
2259.3999,3.6818,4.1084,3.7773
2260.2998,3.6902,4.0086,3.7826
2261.1499,3.6983,3.8492,3.7784
2262.0500,3.7098,3.8576,3.7876
2262.9500,3.7225,3.8645,3.7968
2263.8501,3.7306,3.8706,3.8042
2264.7500,3.7396,3.8787,3.8100
2265.7000,3.7453,3.8824,3.8152
2266.6499,3.7537,3.8859,3.8203
2267.5500,3.7621,3.8905,3.8252
2268.4500,3.7687,3.8940,3.8299
2269.3501,3.7641,3.8943,3.8282
2270.3000,2.9825,4.5425,3.8292
2271.2002,3.0110,4.5902,4.5154
2272.1001,4.5310,4.5980,4.5688
2273.0000,4.5373,4.5991,4.5725
2273.8999,4.5122,5.1469,4.6656
2274.7998,2.4234,5.2318,4.5781
2275.6499,2.0051,4.5313,3.0656
2276.5500,3.8409,3.9560,3.8965
2277.4500,3.8339,3.9353,3.8815
2278.3501,3.8311,3.9318,3.8768
2279.2500,3.8250,4.1203,3.9282
2280.1499,3.8504,4.1359,4.0288
2281.0500,4.0256,4.1333,4.0716
2281.9500,4.0345,4.1356,4.0747
2282.8501,4.0507,4.1454,4.0878
2283.7500,3.8510,4.1471,4.0944
2284.7000,3.8513,4.1451,3.9513
2285.6499,3.8605,6.5705,4.3558
2286.5500,3.8712,5.5450,4.7776
2287.4500,4.7137,4.8323,4.7909
2288.3501,4.7313,4.8421,4.8032
2289.2500,4.7466,4.8410,4.8020
2290.1001,4.7463,5.5106,5.0268
2291.0000,4.8075,7.0121,5.7375
2291.8999,3.9990,6.9933,4.6011
2292.8000,3.9936,4.0859,4.0372
2293.7002,3.9938,4.0741,4.0330
2294.5500,3.9936,4.0770,4.0344
2295.4500,3.9953,4.0752,4.0319
2296.3501,3.9979,4.0706,4.0312
2297.2500,4.0008,4.0859,4.0395
2298.1499,3.9306,4.1157,4.0547
2299.0500,3.8097,4.0989,3.9587
2299.9500,3.8279,4.0383,3.8757
2300.8501,3.8720,3.9428,3.9120
2301.7500,3.9084,4.5830,4.2756
2302.6499,4.4990,4.9732,4.5626
2303.5500,4.5267,4.6058,4.5715
2304.4500,4.5385,4.6167,4.5789
2305.3501,4.5417,4.6225,4.5827
2306.2500,3.7932,5.2927,4.2838
2307.1499,3.7984,3.8715,3.8395
2308.0500,3.8178,3.8917,3.8504
2308.9500,3.8019,3.8824,3.8398
2309.8501,3.8132,3.8761,3.8459
2310.7500,3.8042,4.0008,3.9168
2311.6499,3.8397,4.0386,3.9714
2312.5500,3.8313,4.0516,3.9982
2313.4500,3.8388,4.0545,4.0072
2314.3501,3.7831,4.0550,3.9904
2315.2500,3.7785,4.0553,3.9460
2316.1499,3.7716,4.0519,3.8815
2317.0500,3.7635,4.0308,3.8231
2318.0000,3.7641,3.8360,3.7979
2318.9500,3.7670,3.8319,3.7968
2319.8501,3.7667,3.8331,3.7966
2320.7002,3.7684,3.8313,3.7947
2321.6001,3.7681,3.8276,3.7930
