********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 J01\E1 24 J01 GA\E1 24 J01 DWS M00.fccp
Collected: 2024/08/18 15:25:41
"Report Created: 2024/10/22 13:55:43"
"Channels: Wall Thickness (4)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 3.5000 to 5.0000"
"Percentiles: 1.0 to 99.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Wall Thickness (4) "
"Axial Offset: 49.00"
"Rotational Offset: 180.00"
"EU Offset: 0.000000"
"EU Divisor: 3464.580000"
Axial,Minimum,Maximum,Mean
2225.4500,3.5817,5.5825,4.3236
2226.2998,3.6172,5.7078,4.2275
2227.1499,3.6749,4.9928,4.0685
2228.0500,3.3262,4.2224,3.7302
2228.9500,3.3398,3.4273,3.3912
2229.8501,3.3502,3.4509,3.4064
2230.7500,3.3534,3.4541,3.4119
2231.6001,3.3522,3.4524,3.4102
2232.4500,3.3436,3.4512,3.4057
2233.3501,3.3334,3.4426,3.3954
2234.2500,3.3031,3.4307,3.3767
2235.1001,3.0191,3.4111,3.2988
2235.9500,3.0292,4.4574,3.5957
2236.8501,2.8739,4.9977,3.4730
2237.7500,2.9308,5.0520,3.3725
2238.6001,3.0148,4.9097,3.3191
2239.4500,3.0538,5.1504,3.3838
2240.3501,2.9761,5.2096,3.4014
2241.2500,3.0578,5.2497,3.4006
2242.1499,2.9830,5.0829,3.3441
2243.0000,2.9897,4.5726,3.2624
2243.8501,2.8344,3.8478,3.1100
2244.7500,3.0240,3.1672,3.1010
2245.6499,-0.0084,4.3477,2.6844
2246.5500,-0.0098,4.2911,0.1077
2247.3999,-0.0084,-0.0026,-0.0058
2248.2500,-0.0084,5.2653,1.8449
2249.1499,3.6316,5.9831,4.4722
2250.0000,3.0526,5.7828,3.8360
2250.8501,2.9539,4.6886,3.4732
2251.7500,3.5672,5.3484,4.1145
2252.6001,3.4475,5.5848,4.0427
2253.4500,-0.0043,5.0869,3.8798
2254.3501,-0.0066,5.5245,3.9958
2255.2002,-0.0069,5.7565,3.8683
2256.0500,-0.0078,5.0647,3.6906
2256.9500,-0.0063,6.6484,4.0253
2257.7998,3.4157,4.9631,3.5633
2258.6499,3.4146,3.5935,3.5020
2259.5500,3.4273,3.5935,3.5102
2260.3999,3.4411,3.6085,3.5232
2261.2500,3.4431,3.6001,3.5200
2262.1001,3.4527,3.6033,3.5255
2262.9500,3.4625,3.6105,3.5336
2263.8501,3.4723,3.6201,3.5420
2264.7500,3.4844,3.6279,3.5515
2265.6001,3.4948,3.6359,3.5609
2266.4500,3.5026,3.6449,3.5692
