********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 K12\E1 24 K12 GA\E1 24 K12 DWS M01.fccp
Collected: 2024/08/16 00:16:15
"Report Created: 2024/10/22 13:58:17"
"Channels: Wall Thickness (4)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 3.5000 to 5.0000"
"Percentiles: 1.0 to 99.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Wall Thickness (4) "
"Axial Offset: 49.00"
"Rotational Offset: 180.00"
"EU Offset: 0.000000"
"EU Divisor: 3464.580000"
Axial,Minimum,Maximum,Mean
2234.0500,3.3196,3.4296,3.3757
2235.0000,3.2489,4.0640,3.3650
2235.8999,2.9325,4.9530,3.3177
2236.7500,3.0128,3.5892,3.1252
2237.6499,3.0670,3.1862,3.1302
2238.5500,3.0757,3.2070,3.1379
2239.4500,3.0777,3.2122,3.1433
2240.3501,3.0751,3.2079,3.1441
2241.3000,3.0696,3.2024,3.1410
2242.2500,3.0422,3.1987,3.1327
2243.1499,3.0281,3.1857,3.1210
2244.0500,3.0061,3.1747,3.0999
2245.0000,-0.0066,6.0437,2.6675
2245.9500,-0.0075,-0.0035,-0.0054
2246.8501,-0.0081,4.4710,0.1445
2247.7500,3.6761,6.2426,4.9142
2248.7000,3.3176,6.5399,5.5391
2249.6499,2.8852,5.8148,3.8791
2250.5500,3.0067,5.6772,3.9408
2251.4500,3.1903,5.7892,4.3636
2252.3501,3.5061,5.7456,4.2127
2253.3000,3.4772,6.4071,4.3290
2254.2500,3.5427,6.1404,4.2579
2255.1499,3.4726,6.9795,4.4713
2256.0500,2.3538,6.1312,3.9960
2256.9500,2.4774,4.4127,3.6578
2257.8501,3.6022,3.7248,3.6615
2258.7500,3.5615,4.0080,3.7046
2259.6499,3.6287,3.7416,3.6852
2260.5500,3.6302,3.7511,3.6860
2261.4500,3.6475,3.7485,3.6971
2262.3501,3.6576,3.7629,3.7083
2263.2500,3.6706,3.7728,3.7187
2264.1499,3.6781,3.7826,3.7289
2265.0500,3.6882,3.7889,3.7371
2266.0000,3.6954,3.7956,3.7440
2266.9500,3.7000,3.8019,3.7503
2267.8501,3.7029,3.8057,3.7555
2268.7500,3.7069,3.8109,3.7593
2269.6499,3.7058,3.8123,3.7591
2270.6001,3.7023,3.8109,3.7560
2271.5500,3.0235,4.5607,3.7105
2272.4500,4.4239,4.5593,4.4886
2273.3501,4.4242,4.5581,4.4871
2274.2500,4.4340,4.5570,4.4930
2275.1499,4.4199,5.0572,4.6657
2276.0500,2.8278,5.2387,4.4054
2276.9500,1.9901,4.7729,3.3079
2277.8501,3.7693,3.8821,3.8196
2278.7500,3.7523,3.8654,3.8079
2279.6499,3.7508,3.8611,3.8058
2280.5500,3.7517,3.8619,3.8051
2281.4500,3.7499,3.8602,3.8047
2282.3501,3.7499,3.8599,3.8051
2283.2500,3.7583,3.8697,3.8131
2284.2000,3.7681,3.8772,3.8213
2285.1499,3.7699,3.8827,3.8249
2286.0500,3.7875,3.9000,3.8414
2287.0000,3.7676,5.2982,4.1338
2287.9500,4.5128,4.7255,4.6264
2288.8501,4.5362,4.7368,4.6439
2289.7500,4.5524,4.7368,4.6516
2290.6499,4.5636,4.7310,4.6530
2291.5500,4.5570,5.5063,4.9338
2292.4500,3.8715,5.5516,4.8896
2293.3501,3.7231,4.1067,3.9017
2294.2500,3.7101,4.0345,3.8114
2295.1499,3.7081,4.0374,3.7967
2296.0500,3.7081,3.8960,3.7824
2296.9500,3.7098,3.8374,3.7789
2297.8501,3.7087,3.8371,3.7778
2298.8000,3.7127,3.8371,3.7804
2299.7500,3.7170,3.8403,3.7838
2300.6499,3.7199,3.8452,3.7874
2301.5500,3.7349,3.8718,3.8019
2302.4500,3.7286,4.5457,4.0964
2303.3501,4.3878,4.8257,4.4692
2304.2500,4.4135,4.5454,4.4758
2305.1499,4.4181,4.5449,4.4823
2306.0500,4.4187,4.5535,4.4853
2307.0000,3.7540,5.2009,4.3584
2307.9500,3.6686,3.8386,3.7493
2308.8501,3.7023,3.8241,3.7678
2309.7500,3.6937,3.8308,3.7630
2310.6499,3.6916,3.8282,3.7620
2311.5500,3.6911,3.8299,3.7613
2312.4500,3.6885,3.8293,3.7603
2313.3999,3.6870,3.8279,3.7584
2314.3501,3.6841,3.8276,3.7567
2315.2500,3.6839,3.8276,3.7557
2316.1499,3.6813,3.8250,3.7537
2317.0500,3.6775,3.8236,3.7513
2318.0000,3.6743,3.8192,3.7474
2318.9500,3.6717,3.8163,3.7437
2319.8501,3.6651,3.8114,3.7394
2320.7500,3.6619,3.8085,3.7360
2321.6499,3.6593,3.8054,3.7321
2322.5500,3.6553,3.7996,3.7290
2323.4500,3.6561,3.7973,3.7306
2324.3999,3.6714,3.8085,3.7416
2325.3501,3.6622,3.8299,3.7527
2326.2500,3.6587,3.8363,3.7543
2327.2000,3.6743,3.8536,3.7643
2328.1499,3.6957,3.8674,3.7795
2329.0500,3.7312,3.8957,3.8107
2329.9500,3.7549,3.9341,3.8430
2330.8999,-0.0072,3.9459,2.0025
2331.8501,-0.0069,4.4337,1.3971
2332.7500,4.3264,4.4404,4.3804
2333.6499,4.3494,4.4352,4.3925
2334.5500,4.3200,4.4141,4.3683
2335.5000,4.3125,4.4144,4.3621
2336.4500,4.3128,4.4155,4.3629
2337.3501,4.3128,4.4124,4.3621
2338.2500,4.3090,4.4098,4.3592
2339.1499,4.3073,4.4080,4.3566
2340.1001,4.3116,4.4095,4.3572
2341.0500,4.3027,4.4063,4.3540
2341.9500,4.3108,4.4086,4.3562
2342.8501,4.3111,4.4098,4.3574
2343.8000,4.3108,4.4089,4.3564
2344.7500,4.3099,4.4089,4.3552
2345.6499,4.3099,4.4075,4.3540
2346.5500,4.3082,4.4069,4.3528
2347.5000,4.3064,4.4060,4.3513
2348.4500,4.3018,4.4052,4.3500
2349.3501,4.3021,4.4043,4.3490
2350.3000,4.3010,4.4026,4.3474
2351.2500,4.3010,4.4020,4.3465
2352.1499,4.2992,4.4005,4.3456
2353.0500,4.2978,4.4002,4.3447
2353.9500,4.2984,4.3994,4.3440
2354.8999,4.2958,4.3982,4.3428
2355.8501,4.2960,4.3974,4.3424
2356.7500,4.2969,4.3985,4.3419
2357.7000,4.2963,4.3971,4.3413
2358.6499,4.2952,4.3968,4.3410
2359.5500,4.2940,4.3968,4.3406
2360.5000,4.2946,4.3974,4.3404
