********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 L10\E1 24 L10 GA\E1 24 L10 DWS M00.fccp
Collected: 2024/08/15 16:10:09
"Report Created: 2024/10/22 14:18:48"
"Channels: Wall Thickness (4)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 3.5000 to 5.0000"
"Percentiles: 1.0 to 99.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Wall Thickness (4) "
"Axial Offset: 49.00"
"Rotational Offset: 180.00"
"EU Offset: 0.000000"
"EU Divisor: 3464.580000"
Axial,Minimum,Maximum,Mean
2234.9500,3.3652,3.4299,3.4005
2235.7998,3.3606,3.4287,3.3978
2236.6499,3.3522,3.4235,3.3914
2237.5000,3.3427,3.4088,3.3787
2238.2998,3.3161,3.3889,3.3581
2239.1499,3.2852,3.3756,3.3332
2240.0000,3.2910,4.9296,3.9328
2240.8501,3.2264,5.1158,4.0798
2241.7500,3.0627,5.8275,4.1841
2242.6499,3.1360,5.3908,4.1783
2243.5500,3.4746,5.7886,4.2628
2244.3999,3.4402,5.6922,4.2343
2245.3000,3.5170,5.3452,4.1863
2246.2500,3.4244,5.2174,4.0772
2247.1499,3.1086,5.6088,3.9525
2248.0500,3.0024,5.1845,3.6670
2248.9500,2.9695,4.9247,3.6227
2249.8501,-0.0075,4.2017,2.4142
2250.7500,-0.0078,3.0607,0.0027
2251.6499,-0.0075,5.9043,0.9283
2252.5500,-0.0069,6.6963,4.5649
2253.4500,3.3747,6.6323,5.6914
2254.3501,2.9005,6.8588,4.5065
2255.2500,3.2694,6.3858,4.1457
2256.1499,3.3666,6.1179,4.5867
2257.0500,3.4925,5.6809,4.2542
2257.9500,3.4544,5.5897,4.1592
2258.8501,3.4573,5.0664,3.9758
2259.7500,3.3375,4.7760,3.9208
2260.6499,3.3003,4.8104,4.2193
2261.5500,2.7031,4.9004,3.8124
2262.4500,3.6463,3.7205,3.6841
2263.3501,3.6564,3.7202,3.6936
2264.2500,3.6830,3.7753,3.7164
2265.1499,3.6867,3.7572,3.7199
2266.0500,3.6983,3.7511,3.7262
2266.9500,3.7046,3.7632,3.7372
2267.8501,3.7188,3.7745,3.7460
2268.7500,3.7283,3.7860,3.7564
2269.6499,3.7375,3.7961,3.7651
2270.5500,3.7442,3.8045,3.7721
2271.4500,3.7502,3.8085,3.7771
2272.3501,3.7537,3.8126,3.7817
2273.2500,3.7577,3.8169,3.7856
2274.1499,3.7598,3.8195,3.7871
2275.0500,3.7525,3.8181,3.7828
2275.9500,3.7505,3.8126,3.7768
2276.8501,3.1571,4.5102,4.3258
2277.7500,4.4412,4.5157,4.4688
2278.6499,4.4534,4.5287,4.4786
2279.5500,4.4461,4.8589,4.4810
2280.4500,3.8680,4.8921,4.4213
2281.3501,1.9746,4.6346,2.8542
2282.2500,3.8241,3.8896,3.8499
2283.1499,3.8048,3.8654,3.8312
2284.0500,3.7987,3.8573,3.8265
2284.9500,3.7967,3.8524,3.8219
2285.8501,3.7958,3.9188,3.8224
2286.7500,3.8337,4.0573,4.0095
2287.6499,4.0048,4.0556,4.0255
2288.5500,4.0256,4.0677,4.0424
2289.5000,3.8163,4.0773,4.0241
2290.4500,3.8204,3.9797,3.8447
2291.2998,3.8316,4.5864,3.9998
2292.1499,4.0467,4.8315,4.5562
2293.0500,4.5711,4.6710,4.6094
2293.9500,4.5933,4.6791,4.6236
2294.8501,4.5985,4.6854,4.6272
2295.7500,4.6008,5.3014,4.6768
2296.6499,3.9145,5.3628,5.2179
2297.5500,3.6463,5.8859,4.4709
2298.4500,3.9630,4.0109,3.9857
2299.3501,3.9581,4.0065,3.9821
2300.2500,3.9583,4.0063,3.9812
2301.1499,3.9531,3.9996,3.9775
2302.0500,3.9526,3.9956,3.9743
2302.9500,3.9549,4.0002,3.9761
2303.8501,3.9543,4.0022,3.9778
2304.7002,3.9572,4.0042,3.9777
2305.5500,3.7730,4.0126,3.9443
2306.4500,3.8192,3.8888,3.8526
2307.3501,3.8617,4.5200,4.3539
2308.2500,4.4482,4.8329,4.6151
2309.1499,4.4441,4.5070,4.4755
2310.0500,4.4490,4.5105,4.4828
2310.9500,4.4551,4.5166,4.4873
2311.8501,3.1219,4.5151,4.3088
2312.7500,3.7398,3.8169,3.7750
2313.6499,3.7840,3.8285,3.8028
2314.5500,3.7762,3.8264,3.7964
2315.4500,3.7742,3.8198,3.7924
2316.3501,3.7702,3.8250,3.7914
2317.2500,3.7650,3.9396,3.7907
2318.1499,3.7546,3.9921,3.8019
2319.0500,3.7433,4.0077,3.8408
2319.9500,3.7462,4.0031,3.8435
2320.8501,3.7442,4.0016,3.8100
2321.7500,3.7430,3.9858,3.7743
2322.6499,3.7401,3.7921,3.7604
2323.5500,3.7381,3.7904,3.7597
2324.4500,3.7329,3.7947,3.7592
2325.3501,3.7318,3.7935,3.7574
2326.2500,3.7321,3.7930,3.7564
2327.1499,3.7292,3.7866,3.7538
2328.0500,3.7295,3.7869,3.7531
2328.9500,3.7387,3.7970,3.7590
2329.7998,3.7502,3.8241,3.7746
2330.7000,3.7603,3.8178,3.7784
2331.6001,3.7635,3.8175,3.7807
2332.5000,3.7713,3.8276,3.7917
2333.3999,3.7915,3.8536,3.8191
2334.2500,3.8296,3.8873,3.8503
2335.1499,3.8648,3.9321,3.8876
2336.0500,-0.0078,4.4176,1.2458
