********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 M03\E1 24 M03 GA\E1 24 M03 DWS M00.fccp
Collected: 2024/08/17 14:46:11
"Report Created: 2024/10/22 14:22:44"
"Channels: Wall Thickness (4)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 3.5000 to 5.0000"
"Percentiles: 1.0 to 99.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Wall Thickness (4) "
"Axial Offset: 49.00"
"Rotational Offset: 180.00"
"EU Offset: 0.000000"
"EU Divisor: 3464.580000"
Axial,Minimum,Maximum,Mean
2223.4500,3.5646,5.4546,4.2269
2224.3501,3.5788,5.4148,4.2411
2225.2500,3.6299,5.6160,4.2698
2226.1499,3.5724,5.2194,4.0937
2227.0500,3.3923,4.3694,4.0622
2227.9500,3.3176,3.4030,3.3754
2228.8501,3.3401,3.4226,3.3904
2229.7500,3.3421,3.4301,3.3983
2230.6499,3.3389,3.4293,3.3973
2231.5000,3.3346,3.4223,3.3929
2232.3501,3.3222,3.4114,3.3833
2233.2500,3.3034,3.3938,3.3650
2234.1499,3.2795,3.3713,3.3403
2235.0500,3.2832,4.5879,3.8376
2235.9500,3.0350,5.2927,3.9600
2236.8501,3.0425,5.5418,4.0786
2237.7500,3.1730,5.4520,4.1138
2238.6499,3.1574,5.4206,4.1928
2239.5500,3.5571,5.6301,4.1880
2240.4500,3.2792,5.4269,4.0027
2241.3501,3.0385,4.8191,3.4759
2242.2500,2.8823,3.9015,3.1667
2243.2000,3.0110,3.3329,3.1018
2244.1499,-0.0069,3.7020,2.7275
2245.0500,-0.0075,4.2499,1.9312
2245.9500,-0.0081,3.4564,0.0038
2246.8501,-0.0092,5.5551,1.0627
2247.7500,-0.0069,6.1710,4.8792
2248.6499,-0.0066,6.1690,4.5233
2249.5500,2.9452,5.9554,3.8814
2250.4500,3.6371,5.6394,4.2250
2251.3501,3.5124,6.3223,4.2802
2252.2500,3.4971,5.5360,4.0665
2253.1499,3.5159,6.0157,4.3034
2254.0500,3.4680,6.9974,4.5202
2254.9500,3.3291,6.0694,4.1667
2255.8501,3.4016,5.0260,3.9855
2256.7500,3.5595,3.7468,3.6554
2257.6499,3.5623,4.3743,3.6757
2258.5500,3.5794,3.9139,3.6796
2259.4500,3.5825,3.7803,3.6888
2260.3501,3.5799,3.7857,3.6847
2261.2500,3.5944,3.7901,3.6946
2262.1001,3.6033,3.7961,3.7052
2262.9500,3.6183,3.8085,3.7182
2263.8501,3.6328,3.8247,3.7307
2264.7500,3.6472,3.8380,3.7432
2265.6499,3.6590,3.8458,3.7544
2266.5500,3.6737,3.8550,3.7650
2267.4500,3.6804,3.8611,3.7742
2268.3501,3.6914,3.8671,3.7830
2269.3000,3.6974,3.8732,3.7895
2270.2500,3.6948,3.8801,3.7904
2271.1499,3.6888,3.8732,3.7864
2272.0500,2.9423,4.6245,4.1383
2272.9500,4.5700,4.6955,4.6349
2273.8501,4.5809,4.6984,4.6383
2274.7500,4.5616,4.6975,4.6329
2275.6499,2.9565,5.3706,4.6856
2276.5500,1.9950,5.3216,3.7917
2277.4500,3.7912,3.9673,3.8780
2278.3999,3.7756,3.9508,3.8645
2279.3501,3.7756,3.9341,3.8556
2280.2500,3.7710,3.9324,3.8507
2281.1499,3.7589,4.1301,3.8858
2282.0500,3.9497,4.1393,4.0484
2282.9500,3.9480,4.1364,4.0410
2283.8999,3.9783,4.1413,4.0589
2284.8501,3.7753,4.1676,3.9666
2285.7500,3.8426,4.0773,3.9105
2286.6499,3.8406,4.0091,3.9237
2287.5500,3.8888,5.6004,4.6919
2288.4500,4.7273,4.8797,4.8039
2289.3501,4.7504,4.8947,4.8234
2290.2500,4.7481,4.9054,4.8303
2291.1499,4.7426,5.5328,4.9659
2292.0500,3.6576,6.4348,4.7840
2292.9500,3.7898,4.0986,3.9214
2293.8501,3.7950,4.0582,3.8898
2294.7500,3.7921,4.0816,3.8965
2295.6499,3.7820,4.0623,3.8908
2296.5500,3.7606,4.1105,3.9383
2297.5000,3.7398,4.1269,4.0176
2298.4500,3.7598,4.0787,3.8780
2299.3501,3.7817,3.9125,3.8469
2300.2500,3.7880,3.9162,3.8546
2301.1499,3.8097,3.9266,3.8695
2302.0500,3.8403,3.9480,3.8954
2302.9500,3.8891,4.6459,4.2724
2303.8501,4.5492,4.6716,4.6115
2304.7500,4.5636,4.6863,4.6272
2305.6499,4.5636,4.6947,4.6314
2306.5500,4.5619,4.7022,4.6345
2307.5000,3.7572,5.4653,4.2138
2308.4500,3.7924,3.8859,3.8392
2309.3501,3.7883,3.9142,3.8521
2310.2500,3.7872,3.9061,3.8476
2311.1499,3.7869,3.8969,3.8429
2312.0500,3.7814,3.8917,3.8396
2312.9500,3.7748,3.8977,3.8361
2313.8501,3.7690,4.0285,3.8351
2314.8000,3.7465,4.0651,3.8940
2315.7500,3.7716,4.0700,3.9697
2316.6499,3.8363,4.0770,3.9878
2317.5500,3.8383,4.0666,3.9936
2318.4500,3.7961,4.0657,3.9745
2319.3999,3.7398,4.0472,3.8725
2320.3501,3.7358,3.9647,3.8011
2321.2500,3.7332,3.8423,3.7914
2322.1499,3.7364,3.8377,3.7898
2323.1001,3.7407,3.8360,3.7893
2324.0500,3.7482,3.8400,3.7967
2324.9500,3.7583,3.8582,3.8128
2325.8999,3.7514,3.8819,3.8175
2326.8501,3.7575,3.8856,3.8231
2327.7500,3.7771,3.8911,3.8375
2328.7000,3.8175,3.9032,3.8634
2329.6499,3.8530,3.9341,3.8946
2330.5500,3.8891,3.9774,3.9349
2331.5000,-0.0075,3.9765,0.1630
2332.4500,-0.0072,4.5870,3.2687
2333.3501,4.4762,4.5703,4.5216
2334.2500,4.4407,4.5835,4.5138
2335.2000,4.4251,4.5578,4.4975
2336.1499,4.4259,4.5535,4.4940
2337.1001,4.4254,4.5532,4.4939
2338.0500,4.4262,4.5535,4.4928
2339.0000,4.4245,4.5515,4.4900
2339.9500,4.4323,4.5541,4.4934
2340.8501,4.4228,4.5544,4.4915
2341.8000,4.4271,4.5532,4.4922
2342.7500,4.4297,4.5550,4.4946
2343.7000,4.4317,4.5544,4.4950
2344.6499,4.4300,4.5558,4.4952
2345.5500,4.4331,4.5544,4.4953
2346.5000,4.4297,4.5541,4.4947
2347.4500,4.4294,4.5567,4.4951
2348.3501,4.4282,4.5544,4.4947
2349.3000,4.4308,4.5547,4.4945
2350.2500,4.4282,4.5541,4.4943
2351.2000,4.4282,4.5547,4.4943
2352.1499,4.4300,4.5547,4.4944
2353.0500,4.4308,4.5535,4.4944
2354.0000,4.4314,4.5535,4.4941
2354.9500,4.4271,4.5558,4.4946
2355.8999,4.4271,4.5538,4.4942
2356.8501,4.4268,4.5541,4.4944
2357.8000,4.4317,4.5561,4.4948
2358.7500,4.4288,4.5547,4.4946
2359.7000,4.4282,4.5552,4.4944
2360.6499,4.4320,4.5532,4.4944
2361.6001,4.4288,4.5524,4.4941
2362.5500,4.4282,4.5532,4.4941
2363.5000,4.4317,4.5532,4.4940
2364.4500,4.4314,4.5503,4.4941
2365.3999,4.4326,4.5529,4.4945
2366.3501,4.4331,4.5526,4.4943
2367.3000,4.4320,4.5535,4.4948
2368.2500,4.4320,4.5532,4.4943
2369.2000,4.4308,4.5521,4.4945
2370.1499,4.4306,4.5529,4.4945
2371.1001,4.4346,4.5532,4.4949
2372.0500,4.4306,4.5529,4.4953
2373.0000,4.4346,4.5538,4.4950
2373.9500,4.4311,4.5544,4.4946
2374.8999,4.4343,4.5535,4.4949
2375.8501,4.4340,4.5538,4.4951
2376.8000,4.4340,4.5544,4.4954
2377.7500,4.4357,4.5544,4.4953
2378.6499,4.4329,4.5529,4.4952
2379.6001,4.4343,4.5538,4.4955
2380.5500,4.4329,4.5518,4.4953
2381.5000,4.4355,4.5535,4.4948
2382.4500,4.4323,4.5518,4.4944
2383.3501,4.4355,4.5521,4.4947
2384.2500,4.4314,4.5518,4.4950
2385.2000,4.4334,4.5515,4.4951
2386.1499,4.4334,4.5521,4.4953
2387.1001,4.4352,4.5524,4.4953
2388.0500,4.4360,4.5535,4.4954
2389.0000,4.4355,4.5524,4.4948
2389.9500,4.4363,4.5538,4.4950
2390.8999,4.4363,4.5526,4.4948
2391.8501,4.4355,4.5506,4.4949
2392.8000,4.4360,4.5529,4.4955
2393.7500,4.4357,4.5524,4.4954
2394.7000,4.4360,4.5503,4.4947
2395.6499,4.4360,4.5492,4.4946
2396.5500,4.4360,4.5503,4.4949
2397.5000,4.4349,4.5535,4.4950
2398.4500,4.4366,4.5509,4.4947
2399.3999,4.4383,4.5495,4.4949
2400.3501,4.4386,4.5532,4.4956
2401.3000,4.4360,4.5518,4.4951
2402.2500,4.4375,4.5529,4.4950
2403.1499,4.4381,4.5521,4.4951
2404.1001,4.4375,4.5529,4.4954
2405.0500,4.4369,4.5526,4.4951
2406.0000,4.4369,4.5518,4.4951
2406.9500,4.4389,4.5521,4.4954
2407.8999,4.4372,4.5515,4.4952
2408.8501,4.4381,4.5509,4.4953
2409.7500,4.4378,4.5529,4.4950
2410.7000,4.4375,4.5529,4.4952
2411.6499,4.4363,4.5526,4.4953
2412.6001,4.4375,4.5532,4.4950
2413.5500,4.4381,4.5535,4.4953
2414.4500,4.4375,4.5532,4.4955
2415.3999,4.4363,4.5532,4.4951
2416.3501,4.4357,4.5541,4.4952
2417.2500,4.4372,4.5532,4.4954
2418.2000,4.4372,4.5538,4.4955
2419.1499,4.4378,4.5550,4.4955
2420.1001,4.4372,4.5541,4.4952
2421.0500,4.4375,4.5547,4.4951
2421.9500,4.4378,4.5535,4.4954
2422.8999,4.4372,4.5538,4.4953
2423.8501,4.4369,4.5541,4.4953
2424.7500,4.4360,4.5550,4.4955
2425.7000,4.4383,4.5541,4.4957
2426.6499,4.4369,4.5541,4.4956
2427.5500,4.4378,4.5547,4.4955
2428.5000,4.4383,4.5541,4.4952
2429.4500,4.4369,4.5544,4.4957
2430.3501,4.4381,4.5558,4.4957
2431.3000,4.4378,4.5550,4.4958
2432.2500,4.4381,4.5567,4.4958
2433.1499,4.4369,4.5558,4.4959
2434.0500,4.4378,4.5558,4.4959
2435.0000,4.4366,4.5564,4.4960
2435.9500,4.4357,4.5564,4.4960
2436.8501,4.4378,4.5567,4.4963
2437.7500,4.4349,4.5561,4.4958
2438.7000,4.4366,4.5573,4.4964
2439.6499,4.4360,4.5570,4.4962
2440.5500,4.4349,4.5573,4.4959
2441.4500,4.4357,4.5581,4.4963
2442.3999,4.4366,4.5578,4.4967
2443.3501,4.4346,4.5581,4.4969
2444.2500,4.4343,4.5581,4.4962
2445.2000,4.4349,4.5587,4.4968
2446.1499,4.4360,4.5584,4.4966
2447.0500,4.4357,4.5581,4.4964
2447.9500,4.4349,4.5584,4.4967
2448.8501,4.4360,4.5584,4.4966
2449.8000,4.4331,4.5584,4.4972
2450.7500,4.4337,4.5584,4.4967
2451.6499,4.4352,4.5587,4.4972
2452.5500,4.4357,4.5593,4.4971
2453.5000,4.4349,4.5587,4.4971
2454.4500,4.4334,4.5604,4.4975
2455.3501,4.4343,4.5596,4.4976
2456.2500,4.4343,4.5613,4.4975
2457.1499,4.4340,4.5596,4.4975
2458.1001,4.4352,4.5607,4.4977
2459.0500,4.4346,4.5601,4.4973
2459.9500,4.4349,4.5607,4.4975
2460.8501,4.4337,4.5613,4.4973
2461.7500,4.4346,4.5627,4.4977
2462.6499,4.4317,4.5636,4.4975
2463.5500,4.4343,4.5622,4.4980
2464.4500,4.4346,4.5627,4.4979
2465.3501,4.4349,4.5613,4.4978
2466.2500,4.4314,4.5636,4.4980
2467.2000,4.4331,4.5633,4.4981
2468.1001,4.4343,4.5636,4.4976
2469.0000,4.4349,4.5625,4.4981
2469.9500,4.4337,4.5636,4.4981
2470.8501,4.4352,4.5619,4.4980
2471.7500,4.4346,4.5639,4.4985
2472.6499,4.4343,4.5645,4.4982
2473.5500,4.4346,4.5645,4.4984
2474.4500,4.4357,4.5645,4.4985
2475.3501,4.4349,4.5651,4.4989
2476.2500,4.4337,4.5648,4.4989
2477.2000,4.4349,4.5653,4.4990
2478.1499,4.4357,4.5642,4.4988
2479.0500,4.4360,4.5653,4.4995
2479.9500,4.4375,4.5648,4.4993
2480.8501,4.4366,4.5659,4.4997
2481.7500,4.4366,4.5648,4.4993
2482.6499,4.4355,4.5645,4.4993
2483.5500,4.4366,4.5645,4.4997
2484.4500,4.4372,4.5648,4.4998
2485.3501,4.4369,4.5645,4.5001
2486.2500,4.4369,4.5639,4.4998
2487.1499,4.4363,4.5653,4.4997
2488.1001,4.4375,4.5645,4.4997
2489.0500,4.4363,4.5651,4.4998
2489.9500,4.4375,4.5656,4.5000
2490.8501,4.4381,4.5645,4.5000
2491.7500,4.4375,4.5642,4.5000
2492.6499,4.4375,4.5642,4.4997
2493.5500,4.4381,4.5653,4.4999
2494.4500,4.4372,4.5651,4.5000
2495.3501,4.4369,4.5648,4.5001
2496.2500,4.4378,4.5651,4.5002
2497.1499,4.4372,4.5651,4.5004
2497.8000,4.4389,4.5648,4.5009
2498.0000,4.4395,4.5642,4.5006
2498.3999,4.4383,4.5636,4.5007
2499.2500,4.4392,4.5645,4.5009
2500.1499,4.4401,4.5651,4.5011
2501.0500,4.4389,4.5642,4.5008
2501.9500,4.4392,4.5648,4.5011
2502.7998,4.4401,4.5645,4.5014
2503.6499,4.4418,4.5633,4.5014
2504.5500,4.4430,4.5639,4.5013
2505.4500,4.4398,4.5625,4.5013
2506.2998,4.4433,4.5642,4.5014
2507.1499,4.4430,4.5622,4.5015
2508.0500,4.4441,4.5625,4.5015
2508.9500,4.4444,4.5625,4.5017
2509.8501,4.4427,4.5619,4.5017
2510.7002,4.4418,4.5627,4.5015
2511.5500,4.4430,4.5604,4.5017
2512.4500,4.4418,4.5607,4.5018
2513.3501,4.4435,4.5616,4.5018
2514.2500,4.4409,4.5625,4.5019
2515.1001,4.4409,4.5630,4.5019
2515.9500,4.4438,4.5622,4.5020
2516.8501,4.4407,4.5622,4.5019
2517.7500,4.4412,4.5630,4.5020
2518.6499,4.4427,4.5610,4.5018
2519.5000,4.4441,4.5607,4.5018
2520.3501,4.4450,4.5616,4.5018
2521.2500,4.4456,4.5616,4.5021
2522.1499,4.4435,4.5616,4.5019
2523.0500,4.4435,4.5601,4.5016
2523.8999,4.4427,4.5601,4.5017
2524.7500,4.4456,4.5593,4.5020
2525.6499,4.4438,4.5596,4.5021
2526.5500,4.4450,4.5593,4.5023
2527.4500,4.4444,4.5587,4.5020
2528.2998,4.4450,4.5587,4.5018
2529.1499,4.4450,4.5593,4.5022
2530.0500,4.4461,4.5590,4.5021
2530.9500,4.4467,4.5601,4.5022
2531.8501,4.4464,4.5593,4.5021
2532.7500,4.4461,4.5587,4.5022
2533.6001,4.4467,4.5581,4.5023
2534.4500,4.4444,4.5584,4.5022
2535.3501,4.4458,4.5584,4.5024
2536.2500,4.4444,4.5581,4.5023
2537.1499,4.4453,4.5578,4.5022
2538.0500,4.4467,4.5578,4.5022
2538.8999,4.4458,4.5576,4.5025
2539.7500,4.4464,4.5570,4.5025
2540.6499,4.4467,4.5570,4.5025
2541.5500,4.4464,4.5573,4.5023
2542.4500,4.4461,4.5567,4.5022
2543.3501,4.4458,4.5558,4.5020
2544.2500,4.4464,4.5567,4.5023
2545.1001,4.4461,4.5564,4.5028
2545.9500,4.4456,4.5561,4.5027
2546.8501,4.4467,4.5567,4.5027
2547.7500,4.4470,4.5573,4.5027
