********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 N20\E1 24 N20 GA\E1 24 N20 DWS M00.fccp
Collected: 2024/08/13 00:13:52
"Report Created: 2024/10/22 14:28:07"
"Channels: Wall Thickness (4)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 3.5000 to 5.0000"
"Percentiles: 1.0 to 99.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Wall Thickness (4) "
"Axial Offset: 49.00"
"Rotational Offset: 180.00"
"EU Offset: 0.000000"
"EU Divisor: 3464.580000"
Axial,Minimum,Maximum,Mean
2234.2500,3.3805,3.4547,3.4131
2235.1001,3.3782,3.4529,3.4114
2235.9500,3.3695,3.4532,3.4067
2236.8501,3.3588,3.4454,3.3974
2237.7002,3.3404,3.4278,3.3803
2238.5500,3.2509,3.4076,3.3557
2239.3999,3.0887,5.0488,3.6834
2240.2500,2.9978,4.9059,3.4861
2241.1499,3.0258,4.8768,3.4825
2242.1001,3.0728,5.8189,3.7084
2243.0500,3.0997,5.1975,3.8284
2243.9500,3.1080,6.7985,4.0411
2244.8501,3.1092,5.9525,3.4668
2245.7500,3.0783,4.1465,3.1800
2246.7000,3.0399,3.3588,3.1179
2247.6499,3.0558,3.1857,3.1076
2248.5500,2.9819,4.1058,3.0846
2249.4500,-0.0089,4.8658,1.1341
2250.3501,-0.0087,-0.0029,-0.0059
2251.2500,-0.0075,5.4165,2.2731
2252.1499,3.8464,6.5041,5.2637
2253.1001,3.6221,6.7183,5.6984
2254.0500,3.3490,5.9698,4.8690
2254.9500,4.0885,6.5682,6.1521
2255.8501,3.4807,6.4057,4.6722
2256.7500,3.4922,5.8965,4.1323
2257.6499,3.3736,5.6509,4.0870
2258.5500,3.3522,5.8151,3.8863
2259.4500,3.3381,4.6779,3.7587
2260.3501,3.1037,4.8699,3.6705
2261.2500,3.3384,5.7130,3.6744
2262.2000,-0.0063,3.5831,3.3778
2263.1499,3.4706,3.8625,3.5466
2264.0500,3.4616,3.8599,3.5849
2264.9500,3.4971,3.6163,3.5666
2265.8501,3.5043,3.6313,3.5692
2266.7500,3.5251,3.6414,3.5836
2267.6499,3.5427,3.6561,3.6001
2268.5500,3.5534,3.6691,3.6142
2269.4500,3.5736,3.6810,3.6274
2270.3501,3.5851,3.6919,3.6383
2271.3000,3.5978,3.7003,3.6481
2272.2500,3.6105,3.7093,3.6577
2273.1499,3.6206,3.7170,3.6654
2274.0500,3.6247,3.7127,3.6658
2274.9500,3.6209,3.7150,3.6649
2275.8501,2.7917,4.5723,3.5711
2276.8000,4.4712,4.5763,4.5216
2277.7500,4.4756,4.5804,4.5259
2278.6499,4.4889,4.5662,4.5257
2279.6001,2.0759,5.2231,4.4739
2280.5500,1.9538,5.3068,3.7821
2281.5000,3.6836,3.8025,3.7554
2282.4500,3.7139,3.7834,3.7475
2283.3501,3.6983,3.7748,3.7375
