********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 O13\E1 24 O13 GA\E1 24 O13 DWS M00.fccp
Collected: 2024/08/16 16:15:54
"Report Created: 2024/10/22 14:35:46"
"Channels: Wall Thickness (4)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 3.5000 to 5.0000"
"Percentiles: 1.0 to 99.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Wall Thickness (4) "
"Axial Offset: 49.00"
"Rotational Offset: 180.00"
"EU Offset: 0.000000"
"EU Divisor: 3464.580000"
Axial,Minimum,Maximum,Mean
2234.9500,3.3381,3.3718,3.3533
2235.8501,3.3026,4.0522,3.4292
2236.7500,2.9559,4.4790,3.6872
2237.6499,2.9132,5.4307,3.6950
2238.5500,3.0489,5.2907,3.7492
2239.3999,3.0592,5.4341,3.9468
2240.3000,3.0982,5.4691,3.9971
2241.2500,3.1109,5.3377,3.9880
2242.1499,3.1118,5.3118,3.7898
2243.1001,2.9975,4.4534,3.3217
2244.0500,2.9862,3.4319,3.1435
2244.9500,2.8777,3.1435,3.0959
2245.8999,-0.0069,4.2903,3.0276
2246.8501,-0.0104,4.2155,0.1398
2247.7500,-0.0075,-0.0040,-0.0060
2248.6499,-0.0078,4.6300,2.4524
2249.5500,3.5488,6.0916,4.3219
2250.4500,2.8038,6.2732,4.2152
2251.3501,2.9343,4.7810,3.3985
2252.3000,3.2855,5.4237,4.1146
2253.2500,3.4299,5.5929,4.1039
2254.1499,3.5081,5.6065,4.1150
2255.0500,3.4985,5.2584,4.0796
2255.9500,3.4619,5.4425,4.1696
2256.8501,3.4088,5.1807,3.9569
2257.7500,3.3014,4.8433,3.9136
2258.6499,3.3320,5.1977,3.9459
2259.6001,-0.0063,5.5730,3.7233
2260.5500,-0.0075,3.6253,2.1529
2261.4500,3.5519,3.9211,3.6262
2262.3501,3.5690,3.6697,3.6230
2263.2500,3.5785,3.6752,3.6321
2264.1499,3.5912,3.6896,3.6461
2265.0500,3.6053,3.6994,3.6586
2266.0000,3.6178,3.7124,3.6701
2266.9500,3.6287,3.7222,3.6814
2267.8501,3.6403,3.7321,3.6916
2268.7500,3.6504,3.7407,3.6996
2269.6499,3.6593,3.7450,3.7070
2270.6001,3.6706,3.7476,3.7128
2271.5500,3.6729,3.7479,3.7107
2272.4500,3.6660,3.7468,3.7061
2273.3501,2.8653,4.5737,4.2537
2274.2500,4.4759,4.5723,4.5165
2275.1499,4.4842,4.5737,4.5209
2276.1001,4.4759,4.5711,4.5192
2277.0500,3.7906,5.1449,4.6333
2277.9500,2.0005,5.1588,3.9995
2278.8501,3.7725,3.9188,3.8087
2279.8000,3.7474,3.8337,3.7806
2280.7500,3.7347,3.8045,3.7683
2281.6499,3.7297,3.9927,3.7843
2282.5500,3.7364,4.0129,3.9187
2283.4500,3.9379,4.0103,3.9705
2284.3501,3.9217,4.0201,3.9657
2285.2500,3.9480,4.0328,3.9843
2286.2000,3.7439,4.0354,3.9708
2287.1499,3.7912,4.0726,3.9325
2288.1001,3.7918,5.3297,4.4096
2289.0500,4.5457,4.7198,4.6076
2290.0000,4.5714,4.6958,4.6217
2290.9500,4.5959,4.7114,4.6423
2291.8999,4.6101,4.7238,4.6612
2292.8501,3.7921,5.3201,4.5074
2293.8000,3.8412,3.9188,3.8821
2294.7500,3.7930,4.0014,3.8426
2295.7000,3.7791,4.0444,3.8318
2296.6499,3.7834,4.0452,3.8861
2297.6001,3.7704,4.0617,3.9240
2298.5500,3.7589,4.0807,3.9450
2299.5000,3.7650,4.0773,3.8764
2300.4500,3.7635,4.0123,3.8219
2301.3501,3.7704,3.8515,3.8097
2302.3000,3.7875,3.8781,3.8275
2303.3000,3.8152,3.9127,3.8568
2304.2500,3.8588,4.4992,4.2844
2305.2000,4.4072,4.7238,4.4670
2306.1499,4.4346,4.5160,4.4724
2307.0500,4.4360,4.5212,4.4734
2308.0000,4.4415,4.5275,4.4790
2308.9500,3.1346,4.5209,3.9421
2309.8501,3.7765,3.8541,3.8065
2310.8000,3.7800,3.8533,3.8120
2311.8000,3.7771,3.8507,3.8101
2312.7500,3.7753,3.8492,3.8085
2313.6499,3.7745,3.8484,3.8064
2314.6001,3.7728,3.8438,3.8038
2315.5500,3.7696,3.8409,3.8001
2316.4500,3.7650,3.8386,3.7972
2317.3999,3.7626,3.8377,3.7943
2318.3501,3.7577,3.8348,3.7901
2319.3000,3.7546,3.8293,3.7860
2320.2500,3.7514,3.8247,3.7819
2321.1499,3.7456,3.8189,3.7766
2322.1001,3.7396,3.8120,3.7698
2323.0500,3.7309,3.8039,3.7636
2324.0000,3.7341,3.8290,3.7680
2324.9500,3.7488,3.8126,3.7781
2325.8999,3.7367,3.8383,3.7906
2326.8501,3.7332,3.8533,3.7947
2327.7500,3.7442,3.8556,3.8009
2328.7000,3.7592,3.8651,3.8133
2329.6499,3.7947,3.8966,3.8380
2330.6001,3.8374,3.9266,3.8732
2331.5500,3.8715,3.9676,3.9093
2332.4500,-0.0072,3.9780,0.3080
2333.3999,-0.0061,4.4395,4.2808
2334.3501,4.3751,4.4288,4.4030
2335.2500,4.3463,4.4184,4.3768
2336.2000,4.3336,4.4127,4.3681
2337.1499,4.3344,4.4115,4.3681
2338.0500,4.3344,4.4101,4.3683
2339.0000,4.3341,4.4095,4.3666
2339.9500,4.3336,4.4083,4.3658
2340.8501,4.3324,4.4077,4.3663
2341.8000,4.3330,4.4072,4.3652
2342.7500,4.3344,4.4095,4.3673
2343.6499,4.3350,4.4103,4.3681
2344.6001,4.3356,4.4101,4.3682
2345.5500,4.3327,4.4106,4.3681
2346.4500,4.3327,4.4101,4.3677
2347.3501,4.3330,4.4103,4.3677
2348.3000,4.3301,4.4098,4.3675
2349.2500,4.3307,4.4112,4.3671
2350.2000,4.3318,4.4101,4.3672
2351.1499,4.3290,4.4112,4.3668
2352.0500,4.3301,4.4115,4.3668
2353.0000,4.3266,4.4109,4.3667
2353.9500,4.3272,4.4098,4.3668
2354.8501,4.3287,4.4095,4.3659
2355.8000,4.3275,4.4092,4.3660
2356.7500,4.3252,4.4092,4.3660
2357.7000,4.3264,4.4089,4.3659
2358.6499,4.3249,4.4089,4.3656
2359.5500,4.3252,4.4098,4.3655
2360.5000,4.3266,4.4086,4.3651
2361.4500,4.3252,4.4075,4.3647
2362.3501,4.3255,4.4086,4.3647
2363.2500,4.3246,4.4101,4.3644
2364.2000,4.3264,4.4086,4.3643
2365.1499,4.3261,4.4083,4.3642
2366.0500,4.3249,4.4086,4.3640
2366.9500,4.3258,4.4089,4.3641
2367.8501,4.3266,4.4077,4.3641
2368.7500,4.3240,4.4089,4.3640
2369.6499,4.3243,4.4080,4.3638
2370.6001,4.3243,4.4083,4.3635
2371.5500,4.3240,4.4086,4.3633
2372.4500,4.3238,4.4086,4.3634
2373.3501,4.3252,4.4089,4.3631
2374.2500,4.3226,4.4089,4.3630
2375.2000,4.3240,4.4092,4.3630
2376.1001,4.3232,4.4092,4.3629
2377.0000,4.3246,4.4095,4.3629
2377.9500,4.3261,4.4095,4.3630
2378.8501,4.3243,4.4089,4.3627
2379.7500,4.3243,4.4089,4.3625
2380.6499,4.3229,4.4103,4.3622
2381.5500,4.3217,4.4092,4.3618
2382.4500,4.3229,4.4092,4.3619
2383.3501,4.3206,4.4086,4.3615
2384.2500,4.3252,4.4083,4.3616
2385.1499,4.3249,4.4083,4.3614
2386.0500,4.3232,4.4072,4.3607
2386.9500,4.3243,4.4075,4.3603
2387.8999,4.3232,4.4063,4.3598
2388.8501,4.3229,4.4060,4.3595
2389.7500,4.3206,4.4069,4.3591
2390.6499,4.3206,4.4057,4.3587
2391.5500,4.3214,4.4066,4.3585
2392.4500,4.3191,4.4072,4.3581
2393.3501,4.3206,4.4069,4.3578
2394.2500,4.3203,4.4075,4.3574
2395.1499,4.3194,4.4054,4.3571
2396.0500,4.3217,4.4069,4.3575
2396.9500,4.3212,4.4049,4.3573
2397.8501,4.3212,4.4049,4.3571
2398.7500,4.3200,4.4060,4.3570
2399.6499,4.3197,4.4052,4.3569
2400.6001,4.3203,4.4054,4.3568
2401.5500,4.3209,4.4052,4.3569
2402.4500,4.3194,4.4049,4.3566
2403.3501,4.3194,4.4052,4.3563
2404.2500,4.3206,4.4046,4.3565
2405.1499,4.3203,4.4052,4.3562
2406.0500,4.3209,4.4057,4.3563
2406.9500,4.3217,4.4049,4.3562
2407.8501,4.3223,4.4049,4.3564
2408.7500,4.3232,4.4043,4.3565
2409.6499,4.3220,4.4031,4.3562
2410.5500,4.3229,4.4049,4.3560
2411.5000,4.3240,4.4043,4.3563
2412.4500,4.3229,4.4054,4.3562
2413.3501,4.3238,4.4049,4.3563
2414.2500,4.3246,4.4049,4.3560
2415.1499,4.3229,4.4049,4.3559
2416.0500,4.3246,4.4052,4.3561
2416.9500,4.3240,4.4052,4.3561
2417.8501,4.3240,4.4049,4.3562
2418.7500,4.3243,4.4066,4.3569
2419.7000,4.3226,4.4063,4.3569
2420.6499,4.3243,4.4060,4.3572
2421.5500,4.3243,4.4072,4.3578
2422.4500,4.3243,4.4063,4.3575
2423.3501,4.3252,4.4069,4.3579
2424.2500,4.3240,4.4072,4.3578
2425.1499,4.3266,4.4069,4.3581
2426.0500,4.3252,4.4080,4.3585
2426.9500,4.3266,4.4077,4.3590
2427.8501,4.3278,4.4069,4.3594
2428.7500,4.3287,4.4080,4.3601
2429.6499,4.3284,4.4077,4.3602
2430.5500,4.3295,4.4077,4.3607
2431.5000,4.3287,4.4080,4.3610
2432.4500,4.3321,4.4089,4.3614
2433.3501,4.3307,4.4095,4.3618
2434.2500,4.3307,4.4098,4.3617
2435.1499,4.3315,4.4101,4.3622
2436.0500,4.3333,4.4095,4.3624
2436.9500,4.3321,4.4098,4.3626
2437.8501,4.3327,4.4098,4.3632
2438.8000,4.3362,4.4092,4.3638
2439.7500,4.3365,4.4109,4.3640
2440.6499,4.3365,4.4098,4.3645
2441.5500,4.3370,4.4106,4.3648
2442.4500,4.3350,4.4095,4.3649
2443.3501,4.3382,4.4115,4.3653
2444.2500,4.3379,4.4101,4.3658
2445.1499,4.3379,4.4124,4.3661
2446.0500,4.3379,4.4115,4.3663
2447.0000,4.3399,4.4132,4.3672
2447.9500,4.3405,4.4124,4.3675
2448.8501,4.3414,4.4129,4.3682
2449.7500,4.3414,4.4135,4.3684
2450.6499,4.3411,4.4141,4.3690
2451.5500,4.3414,4.4138,4.3697
2452.4500,4.3419,4.4150,4.3703
2453.3501,4.3425,4.4153,4.3711
2454.3000,4.3434,4.4167,4.3721
2455.2500,4.3431,4.4161,4.3723
2456.1499,4.3434,4.4158,4.3727
2457.0500,4.3442,4.4170,4.3732
2457.9500,4.3437,4.4173,4.3735
2458.8999,4.3440,4.4158,4.3736
2459.8501,4.3445,4.4179,4.3739
2460.7500,4.3448,4.4176,4.3741
2461.6499,4.3451,4.4173,4.3746
2462.5500,4.3451,4.4176,4.3749
2463.4500,4.3451,4.4179,4.3753
2464.3999,4.3468,4.4184,4.3757
2465.3501,4.3468,4.4187,4.3763
2466.2500,4.3474,4.4190,4.3767
2467.1499,4.3489,4.4196,4.3771
2468.0500,4.3486,4.4190,4.3774
2468.9500,4.3492,4.4193,4.3784
2469.8501,4.3494,4.4204,4.3790
2470.8000,4.3503,4.4199,4.3795
2471.7500,4.3506,4.4193,4.3800
2472.6499,4.3512,4.4204,4.3808
2473.5500,4.3515,4.4219,4.3819
2474.4500,4.3526,4.4228,4.3825
2475.3999,4.3529,4.4251,4.3835
2476.3501,4.3538,4.4242,4.3845
2477.2500,4.3546,4.4262,4.3857
2478.1499,4.3558,4.4277,4.3866
2479.0500,4.3564,4.4280,4.3878
2479.9500,4.3572,4.4303,4.3888
2480.8501,4.3598,4.4323,4.3901
2481.8000,4.3607,4.4323,4.3912
2482.7500,4.3627,4.4326,4.3922
2483.6499,4.3645,4.4352,4.3933
2484.5500,4.3642,4.4355,4.3941
2485.4500,4.3656,4.4360,4.3952
2486.3501,4.3659,4.4357,4.3964
2487.3000,4.3662,4.4363,4.3971
2488.2500,4.3668,4.4372,4.3980
2489.1499,4.3679,4.4386,4.3989
2490.0500,4.3688,4.4389,4.4001
2490.9500,4.3691,4.4381,4.4008
2491.8501,4.3705,4.4383,4.4014
2492.7500,4.3705,4.4392,4.4016
2493.6499,4.3711,4.4389,4.4018
2494.6001,4.3714,4.4392,4.4018
2495.5500,4.3705,4.4398,4.4018
2496.4500,4.3705,4.4389,4.4019
2497.3501,4.3717,4.4398,4.4026
2497.8999,4.3705,4.4456,4.4034
2498.0000,4.3766,4.4458,4.4091
2498.1001,4.3763,4.4464,4.4093
2498.6499,4.3763,4.4461,4.4101
2499.5500,4.3789,4.4464,4.4107
2500.4500,4.3809,4.4479,4.4118
2501.3501,4.3815,4.4482,4.4126
2502.2500,4.3826,4.4508,4.4139
2503.1499,4.3832,4.4496,4.4145
2504.1001,4.3849,4.4505,4.4155
2505.0000,4.3858,4.4531,4.4163
2505.8999,4.3852,4.4534,4.4174
2506.8501,4.3864,4.4548,4.4180
2507.7500,4.3887,4.4560,4.4189
2508.6499,4.3896,4.4542,4.4194
2509.5500,4.3893,4.4557,4.4205
2510.4500,4.3916,4.4571,4.4211
2511.3501,4.3916,4.4577,4.4221
2512.2500,4.3927,4.4585,4.4226
2513.1499,4.3925,4.4574,4.4232
2514.0500,4.3925,4.4591,4.4240
2514.9500,4.3933,4.4591,4.4243
2515.8501,4.3942,4.4597,4.4253
2516.7500,4.3948,4.4588,4.4260
2517.6499,4.3959,4.4600,4.4269
2518.5500,4.3962,4.4611,4.4280
2519.4500,4.3968,4.4609,4.4286
2520.3999,4.3974,4.4617,4.4297
2521.3501,4.3985,4.4617,4.4304
2522.2500,4.3988,4.4617,4.4311
2523.1499,4.3997,4.4632,4.4319
2524.0500,4.3991,4.4626,4.4327
2524.9500,4.4008,4.4632,4.4333
2525.7998,4.4037,4.4635,4.4339
2526.7000,4.4046,4.4649,4.4347
2527.6499,4.4043,4.4643,4.4352
2528.5500,4.4040,4.4649,4.4357
2529.4500,4.4052,4.4652,4.4361
2530.3501,4.4057,4.4652,4.4365
2531.2500,4.4066,4.4672,4.4371
2532.1499,4.4086,4.4663,4.4376
2533.0500,4.4075,4.4681,4.4382
2533.9500,4.4080,4.4675,4.4388
2534.8501,4.4083,4.4672,4.4393
2535.7500,4.4115,4.4669,4.4399
2536.6499,4.4127,4.4681,4.4403
2537.5500,4.4115,4.4689,4.4407
2538.4500,4.4135,4.4695,4.4409
2539.3501,4.4141,4.4712,4.4412
2540.2500,4.4138,4.4692,4.4412
2541.1499,4.4141,4.4701,4.4416
2542.0500,4.4150,4.4710,4.4419
2542.9500,4.4141,4.4701,4.4418
2543.8501,4.4150,4.4698,4.4416
2544.7500,4.4141,4.4689,4.4425
2545.6499,4.4150,4.4698,4.4424
2546.5500,4.4155,4.4704,4.4424
2547.5000,4.4161,4.4710,4.4426
2548.4500,4.4153,4.4718,4.4429
2549.3501,4.4164,4.4715,4.4431
2550.2500,4.4167,4.4721,4.4436
2551.1001,4.4176,4.4730,4.4445
2552.0000,4.4184,4.4738,4.4458
2552.9500,4.4184,4.4744,4.4467
2553.8501,4.4207,4.4753,4.4480
2554.7500,4.4207,4.4782,4.4488
2555.6499,4.4199,4.4776,4.4490
2556.5500,4.4207,4.4785,4.4491
2557.4500,4.4207,4.4779,4.4489
2558.3501,4.4199,4.4782,4.4491
2559.2500,4.4204,4.4785,4.4492
2560.1499,4.4219,4.4808,4.4492
2561.0500,4.4204,4.4796,4.4492
2561.9500,4.4219,4.4790,4.4493
2562.8501,4.4202,4.4770,4.4492
2563.7500,4.4199,4.4779,4.4491
2564.6499,4.4202,4.4770,4.4488
2565.5500,4.4202,4.4796,4.4485
2566.4500,4.4193,4.4796,4.4482
2567.3501,4.4204,4.4793,4.4489
2568.2500,4.4216,4.4790,4.4487
2569.1499,4.4199,4.4805,4.4486
2570.0500,4.4202,4.4802,4.4482
2571.0000,4.4196,4.4802,4.4481
2571.9500,4.4199,4.4814,4.4481
2572.8501,4.4199,4.4814,4.4485
2573.7500,4.4196,4.4816,4.4485
2574.6499,4.4202,4.4822,4.4484
2575.5500,4.4202,4.4828,4.4483
2576.4500,4.4196,4.4805,4.4481
2577.3501,4.4199,4.4811,4.4479
2578.2500,4.4207,4.4814,4.4482
2579.1499,4.4196,4.4805,4.4484
2580.0500,4.4196,4.4814,4.4482
2580.9500,4.4190,4.4808,4.4481
2581.8501,4.4190,4.4819,4.4478
2582.7500,4.4181,4.4819,4.4480
2583.6499,4.4196,4.4816,4.4485
2584.5500,4.4196,4.4819,4.4482
2585.4500,4.4196,4.4828,4.4483
2586.3501,4.4190,4.4831,4.4484
2587.2500,4.4199,4.4822,4.4484
2588.1499,4.4196,4.4831,4.4480
2589.0500,4.4173,4.4831,4.4475
2590.0000,4.4181,4.4839,4.4473
2590.9500,4.4170,4.4828,4.4473
2591.8501,4.4184,4.4860,4.4471
2592.7500,4.4184,4.4848,4.4469
2593.6499,4.4176,4.4837,4.4470
2594.5500,4.4176,4.4845,4.4467
2595.4500,4.4167,4.4822,4.4470
2596.3501,4.4176,4.4828,4.4471
2597.2500,4.4167,4.4842,4.4471
2598.1499,4.4173,4.4839,4.4468
2599.0500,4.4170,4.4848,4.4465
2599.9500,4.4173,4.4857,4.4469
2600.8501,4.4181,4.4842,4.4466
2601.7500,4.4170,4.4851,4.4463
2602.6499,4.4170,4.4863,4.4461
2603.5500,4.4167,4.4857,4.4463
2604.4500,4.4164,4.4860,4.4461
2605.3501,4.4161,4.4857,4.4461
2606.2500,4.4153,4.4868,4.4458
2607.1499,4.4155,4.4863,4.4460
2608.0500,4.4153,4.4860,4.4457
2608.9500,4.4155,4.4874,4.4462
2609.8999,4.4155,4.4865,4.4463
2610.8501,4.4158,4.4877,4.4463
2611.7500,4.4155,4.4877,4.4466
2612.6499,4.4167,4.4871,4.4468
2613.5500,4.4158,4.4877,4.4467
2614.4500,4.4153,4.4877,4.4465
2615.3501,4.4158,4.4865,4.4463
2616.2500,4.4153,4.4865,4.4463
2617.1499,4.4158,4.4883,4.4463
2618.0500,4.4147,4.4871,4.4461
2618.9500,4.4153,4.4886,4.4464
2619.8501,4.4144,4.4877,4.4465
2620.7500,4.4144,4.4886,4.4463
2621.6499,4.4141,4.4886,4.4464
2622.5500,4.4138,4.4889,4.4463
2623.4500,4.4141,4.4886,4.4466
2624.3501,4.4132,4.4889,4.4465
2625.2500,4.4132,4.4889,4.4467
2626.1499,4.4138,4.4889,4.4465
2627.0500,4.4135,4.4883,4.4467
2627.9500,4.4141,4.4891,4.4467
2628.8999,4.4135,4.4886,4.4464
2629.8501,4.4141,4.4889,4.4463
2630.7500,4.4141,4.4886,4.4463
2631.6499,4.4135,4.4891,4.4468
2632.5500,4.4132,4.4891,4.4460
2633.4500,4.4129,4.4906,4.4463
2634.3501,4.4127,4.4894,4.4463
2635.2500,4.4124,4.4897,4.4462
2636.1499,4.4118,4.4903,4.4464
2637.0500,4.4118,4.4897,4.4462
2637.9500,4.4121,4.4891,4.4460
2638.8501,4.4103,4.4894,4.4461
2639.7500,4.4118,4.4894,4.4463
2640.6499,4.4115,4.4891,4.4461
2641.6001,4.4115,4.4894,4.4459
2642.5500,4.4106,4.4897,4.4460
2643.4500,4.4103,4.4897,4.4460
2644.3501,4.4129,4.4897,4.4464
2645.2500,4.4121,4.4903,4.4462
2646.1499,4.4103,4.4889,4.4461
2647.0500,4.4121,4.4894,4.4461
2647.9500,4.4103,4.4897,4.4458
2648.8501,4.4106,4.4900,4.4460
2649.7500,4.4101,4.4889,4.4463
2650.6499,4.4103,4.4894,4.4458
2651.5500,4.4106,4.4897,4.4457
2652.4500,4.4109,4.4909,4.4457
2653.3999,4.4089,4.4903,4.4459
2654.3501,4.4103,4.4906,4.4459
2655.2500,4.4095,4.4897,4.4459
2656.1499,4.4089,4.4909,4.4460
