********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 P17\E1 24 P17 GA\E1 24 P17 DWS M01.fccp
Collected: 2024/08/15 05:58:32
"Report Created: 2024/10/22 14:38:36"
"Channels: Wall Thickness (4)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 3.5000 to 5.0000"
"Percentiles: 1.0 to 99.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Wall Thickness (4) "
"Axial Offset: 49.00"
"Rotational Offset: 180.00"
"EU Offset: 0.000000"
"EU Divisor: 3464.580000"
Axial,Minimum,Maximum,Mean
2234.7500,3.3805,3.4264,3.4046
2235.6001,3.3741,3.4177,3.3966
2236.4500,3.3652,3.4033,3.3830
2237.2998,3.3415,3.3863,3.3629
2238.1499,3.0480,4.0045,3.3300
2239.0000,3.0128,4.2574,3.6356
2239.8501,2.9008,5.2711,3.6711
2240.7500,2.9986,5.2745,3.7777
2241.6499,3.0364,5.9759,3.9400
2242.5500,3.0413,5.6134,4.0987
2243.4500,3.1086,5.3366,4.0147
2244.3501,3.0278,5.1244,3.7938
2245.2500,3.0347,4.7737,3.4059
2246.1499,2.9516,3.8744,3.1657
2247.0500,2.9092,3.1378,3.0932
2248.0000,3.0341,3.1366,3.0895
2248.9500,-0.0084,4.2588,2.6810
2249.8501,-0.0092,1.6804,0.0072
2250.7500,-0.0092,-0.0032,-0.0060
2251.7000,-0.0075,6.3976,4.0626
2252.6499,3.5329,6.7477,5.3641
2253.5500,2.6915,6.6952,4.3748
2254.4500,2.9184,5.3539,3.6150
2255.3501,3.2284,7.9040,4.9046
2256.3000,3.3499,8.0013,5.2932
2257.2500,3.4524,8.0399,5.3637
2258.1499,3.3857,8.1395,5.4801
2259.0500,3.3805,8.1283,5.0588
2259.9500,2.9152,4.7128,3.7697
2260.8501,3.3626,4.3339,3.5726
2261.7500,3.4737,3.8478,3.5756
2262.6499,3.4873,3.7000,3.5938
2263.5500,3.4948,3.7000,3.5979
2264.4500,3.4910,3.6960,3.5991
2265.3501,3.5006,3.7023,3.6067
2266.2500,3.5138,3.7118,3.6160
2267.1499,3.5219,3.7225,3.6253
2268.0500,3.5315,3.7309,3.6347
2269.0000,3.5450,3.7404,3.6444
2269.9500,3.5551,3.7453,3.6537
2270.8501,3.5638,3.7534,3.6612
2271.8000,3.5733,3.7589,3.6682
2272.7500,3.5791,3.7678,3.6748
2273.6499,3.5791,3.7647,3.6751
2274.5500,3.5742,3.7641,3.6692
2275.4500,2.7426,4.5607,4.0523
2276.3501,4.4127,4.5656,4.4942
2277.2500,4.4141,4.5700,4.4973
2278.1499,4.4158,4.5665,4.4988
2279.0500,2.9377,5.1152,4.4830
2279.9500,1.9705,5.2546,3.6812
2280.8501,1.9861,4.0605,3.7274
2281.8000,3.6570,3.8452,3.7556
2282.7002,3.6507,3.8423,3.7466
2283.5500,3.6414,3.8426,3.7437
2284.4500,3.6397,3.9442,3.7902
2285.3501,3.7338,3.9581,3.8313
2286.2500,3.7424,3.9511,3.8332
2287.1499,3.7410,3.9673,3.8431
2288.1001,3.7667,3.9774,3.8584
2289.0500,3.6896,3.9768,3.8647
2289.9500,3.7237,4.5408,3.9005
2290.8501,3.7650,5.3259,4.5689
2291.7500,4.5267,4.6961,4.6144
2292.6499,4.5529,4.7224,4.6403
2293.5500,4.5607,4.7466,4.6625
2294.4500,4.5907,5.3880,4.6903
2295.3501,3.8562,5.4841,4.9530
2296.2500,3.7751,5.4913,3.9209
2297.1499,3.8178,4.0663,3.9217
2298.0500,3.7652,4.0807,3.9373
2298.9500,3.7935,4.0822,3.9644
2299.8501,3.8732,4.0738,3.9743
2300.7500,3.8706,4.0801,3.9729
2301.6499,3.8697,4.0943,3.9782
2302.5500,3.6991,4.0833,3.9297
2303.4500,3.6804,4.0796,3.8748
2304.3501,3.6758,4.0550,3.8087
2305.3000,3.7165,3.9324,3.8190
2306.2500,3.7436,4.5093,4.0999
2307.1499,4.3212,4.5117,4.4293
2308.0500,4.3532,4.5226,4.4457
2308.9500,4.3604,4.5226,4.4535
2309.8501,4.3627,4.5301,4.4571
2310.7500,3.7771,5.0439,4.2459
2311.6499,3.6466,3.8617,3.7578
2312.5500,3.6853,3.8683,3.7731
2313.4500,3.6752,3.8718,3.7702
2314.3501,3.6737,3.8686,3.7724
2315.2500,3.6732,3.8680,3.7691
2316.1499,3.6639,3.8668,3.7667
2317.1001,3.6648,3.8674,3.7664
2318.0500,3.6613,3.8660,3.7657
2318.9500,3.6610,3.8651,3.7644
2319.8501,3.6587,3.8628,3.7622
2320.7500,3.6593,3.8611,3.7594
2321.6499,3.6541,3.8591,3.7563
2322.6001,3.6509,3.8544,3.7525
2323.5500,3.6469,3.8504,3.7474
2324.4500,3.6406,3.8440,3.7417
2325.3501,3.6348,3.8397,3.7364
2326.2500,3.6377,3.8406,3.7355
2327.1499,3.6483,3.8876,3.7430
2328.1001,3.6602,3.8634,3.7545
2329.0500,3.6406,3.8830,3.7601
2329.9500,3.6460,3.8995,3.7639
2330.8999,3.6547,3.8972,3.7752
2331.8501,3.6798,3.9315,3.7979
2332.7500,3.7211,3.9575,3.8309
2333.6499,3.7482,3.9964,3.8643
2334.5500,-0.0081,4.9510,1.2389
2335.5000,-0.0055,4.9432,4.3274
2336.4500,4.2920,4.4383,4.3628
2337.3501,4.2709,4.4135,4.3453
2338.2500,4.2577,4.4103,4.3363
2339.2000,4.2574,4.4095,4.3359
2340.1499,4.2605,4.4106,4.3369
2341.0500,4.2608,4.4103,4.3374
2342.0000,4.2588,4.4083,4.3360
2342.9500,4.2591,4.4057,4.3344
2343.8501,4.2600,4.4112,4.3347
2344.7500,4.2611,4.4077,4.3347
2345.7000,4.2594,4.4092,4.3344
2346.6499,4.2631,4.4095,4.3377
2347.5500,4.2631,4.4095,4.3377
2348.5000,4.2643,4.4095,4.3376
2349.4500,4.2629,4.4098,4.3374
2350.3501,4.2640,4.4086,4.3367
2351.3000,4.2649,4.4072,4.3367
2352.2500,4.2629,4.4080,4.3362
2353.1499,4.2646,4.4072,4.3356
2354.0500,4.2637,4.4066,4.3359
2354.9500,4.2634,4.4063,4.3356
2355.8501,4.2646,4.4052,4.3352
2356.8000,4.2646,4.4043,4.3346
2357.7500,4.2637,4.4040,4.3342
2358.6499,4.2617,4.4046,4.3342
2359.5500,4.2626,4.4037,4.3340
2360.4500,4.2620,4.4031,4.3337
2361.3999,4.2611,4.4028,4.3337
2362.3501,4.2605,4.4026,4.3337
2363.2500,4.2623,4.4020,4.3334
2364.1499,4.2603,4.4026,4.3335
2365.0500,4.2617,4.4031,4.3333
2365.9500,4.2605,4.4002,4.3331
2366.8999,4.2591,4.4011,4.3329
2367.8501,4.2608,4.3997,4.3328
2368.7500,4.2611,4.4002,4.3329
2369.6499,4.2617,4.3997,4.3329
2370.5500,4.2611,4.3982,4.3328
2371.4500,4.2614,4.3976,4.3327
2372.3501,4.2626,4.3994,4.3328
2373.2500,4.2614,4.3976,4.3325
2374.1499,4.2617,4.3979,4.3323
2375.0500,4.2629,4.3994,4.3325
2375.9500,4.2629,4.3974,4.3326
2376.8999,4.2643,4.3965,4.3326
2377.8501,4.2614,4.3965,4.3327
2378.7500,4.2617,4.3971,4.3327
2379.6499,4.2620,4.3959,4.3324
2380.5500,4.2649,4.3965,4.3323
2381.4500,4.2637,4.3965,4.3325
2382.3501,4.2617,4.3965,4.3322
2383.2500,4.2643,4.3959,4.3324
2384.1499,4.2643,4.3962,4.3326
2385.0500,4.2652,4.3956,4.3328
2385.9500,4.2652,4.3953,4.3328
2386.8999,4.2657,4.3953,4.3328
2387.8501,4.2660,4.3953,4.3326
2388.7500,4.2666,4.3953,4.3329
2389.6499,4.2657,4.3956,4.3331
2390.5500,4.2663,4.3965,4.3333
2391.4500,4.2655,4.3950,4.3330
2392.3501,4.2660,4.3950,4.3329
2393.2500,4.2660,4.3950,4.3327
2394.2000,4.2652,4.3956,4.3328
2395.1499,4.2652,4.3953,4.3326
2396.0500,4.2657,4.3945,4.3326
2396.9500,4.2663,4.3959,4.3328
2397.8501,4.2666,4.3948,4.3328
2398.7500,4.2660,4.3956,4.3326
2399.6499,4.2655,4.3953,4.3326
2400.5500,4.2660,4.3953,4.3322
2401.4500,4.2655,4.3953,4.3322
2402.3501,4.2631,4.3953,4.3319
2403.2500,4.2643,4.3953,4.3321
2404.1499,4.2646,4.3942,4.3320
2405.0500,4.2652,4.3948,4.3322
2405.9500,4.2646,4.3945,4.3324
2406.8501,4.2649,4.3939,4.3321
2407.7500,4.2655,4.3942,4.3319
2408.7000,4.2640,4.3942,4.3317
2409.6001,4.2649,4.3942,4.3316
2410.4500,4.2631,4.3948,4.3316
2411.3999,4.2631,4.3939,4.3312
2412.3501,4.2617,4.3945,4.3310
2413.2500,4.2608,4.3948,4.3311
2414.1499,4.2623,4.3933,4.3308
2415.0500,4.2634,4.3936,4.3305
2415.9500,4.2620,4.3933,4.3305
2416.8501,4.2626,4.3942,4.3306
2417.7500,4.2617,4.3933,4.3307
2418.6499,4.2626,4.3933,4.3308
2419.5500,4.2605,4.3933,4.3308
2420.4500,4.2600,4.3936,4.3306
2421.3501,4.2600,4.3942,4.3310
2422.2500,4.2579,4.3948,4.3310
2423.1499,4.2614,4.3939,4.3311
2424.0500,4.2597,4.3948,4.3307
2424.9500,4.2582,4.3948,4.3310
2425.8501,4.2594,4.3948,4.3311
2426.7500,4.2597,4.3948,4.3314
2427.6499,4.2603,4.3948,4.3313
2428.5500,4.2597,4.3945,4.3313
2429.4500,4.2603,4.3948,4.3313
2430.3501,4.2591,4.3950,4.3317
2431.2500,4.2585,4.3950,4.3316
2432.1499,4.2588,4.3953,4.3317
2433.0500,4.2579,4.3953,4.3315
2434.0000,4.2579,4.3956,4.3312
2434.8999,4.2582,4.3953,4.3315
2435.8000,4.2588,4.3950,4.3317
2436.7500,4.2562,4.3956,4.3314
2437.6499,4.2585,4.3959,4.3315
2438.5500,4.2577,4.3956,4.3316
2439.4500,4.2571,4.3959,4.3315
2440.3501,4.2565,4.3965,4.3313
2441.2500,4.2565,4.3962,4.3312
2442.1499,4.2568,4.3965,4.3314
