********************************************************************************
Filename: J:\AFCIS_DATA\E1 24\E1 24 T16\E1 24 T16 GA\E1 24 T16 DWS M00.fccp
Collected: 2024/08/14 00:37:10
"Report Created: 2024/10/22 14:41:28"
"Channels: Wall Thickness (4)"
"Axial Range: 2000.00 to 9000.00"
"Rotational Range: ALL"
"Z Range: 3.5000 to 5.0000"
"Percentiles: 1.0 to 99.0"
"Threshold: -10000000.0000 to 10000000.0000"
"Channel: Wall Thickness (4) "
"Axial Offset: 49.00"
"Rotational Offset: 180.00"
"EU Offset: 0.000000"
"EU Divisor: 3464.580000"
Axial,Minimum,Maximum,Mean
2234.7500,3.3773,3.4065,3.3931
2235.6001,3.3741,3.4053,3.3905
2236.4500,3.3658,3.4033,3.3833
2237.3501,3.3496,3.3923,3.3684
2238.2002,3.3222,3.3747,3.3465
2239.0500,3.2405,4.0978,3.4801
2239.9500,2.9865,5.1377,3.9782
2240.8501,2.9978,5.2260,3.9606
2241.7500,3.0261,6.1557,4.0334
2242.6499,3.0364,5.4644,4.0839
2243.6001,3.1201,5.7358,4.1261
2244.5500,3.1453,6.0362,3.9338
2245.5000,3.1025,4.5907,3.5025
2246.4500,2.9960,4.3821,3.1908
2247.3501,3.0584,3.5595,3.1250
2248.3000,3.0561,3.9246,3.1219
2249.2500,-0.0075,4.2412,1.8658
2250.1499,-0.0081,-0.0043,-0.0060
2251.0500,-0.0078,3.8943,0.0805
2251.9500,-0.0052,5.0976,4.1063
2252.8999,-0.0052,5.0967,3.9696
2253.8501,2.7487,5.1963,3.7280
2254.7500,3.0289,5.3871,4.1274
2255.7000,3.1328,5.6425,4.2878
2256.6499,3.4680,5.4269,4.1248
2257.5500,3.4275,5.5161,4.0454
2258.4500,3.3848,5.5479,3.9621
2259.3501,3.3848,5.6731,3.9461
2260.2500,3.4241,4.9134,4.0762
2261.1499,-0.0058,5.2104,3.8192
2262.0500,-0.0063,3.7266,3.4276
2262.9500,3.5043,3.9324,3.6635
2263.8501,3.5216,3.9471,3.6646
2264.7500,3.5341,3.7523,3.6365
2265.7000,3.5392,3.7499,3.6408
2266.6499,3.5534,3.8299,3.6604
